rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[0.295 0.295 0.295],1111,358,356,397,2.812817904374364,0.9694811800610376,0.8870803662258393,0.9562563580874872,7.4821973550356065,5.7782299084435405,5.784333672431332,0.005200927010300217,0.005206420947282928,0
[0.295 0.295 0.413],1320,401,362,557,2.844875346260388,0.9778393351800554,0.9076638965835642,0.9593721144967684,7.575253924284395,5.8153277931671274,5.922437673130194,0.0044055513584599455,0.004486695206916813,0
[0.295 0.295 0.59 ],1464,359,331,774,2.8605724838411812,0.9741458910433979,0.917820867959372,0.9686057248384118,7.613111726685134,5.830101569713758,5.979686057248384,0.00398230981537825,0.004084485011781683,0
[0.295 0.295 1.12 ],2060,364,382,1314,3.1848428835489835,0.9630314232902032,0.9048059149722736,1.3170055452865064,8.237523105360442,6.142329020332718,7.808687615526803,0.0029817131166663675,0.003790625056080972,0
[0.295 0.295 1.568],2567,371,342,1854,3.686057248384118,0.9529085872576176,0.8799630655586335,1.8531855955678669,9.204986149584489,8.368421052631579,9.248384118190213,0.0032600004100629444,0.0036027986436268852,2
[0.295 0.295 2.24 ],3512,370,359,2783,4.6256931608133085,0.9768946395563772,0.8669131238447321,2.7818853974121995,11.095194085027726,10.249537892791126,11.116451016635859,0.002918433340771961,0.003165276485374676,2
[0.295 0.295 3.395],4898,357,388,4153,6.018467220683287,0.9759926131117268,0.8938134810710988,4.148661126500461,13.9067405355494,13.032317636195753,13.92613111726685,0.002660742677867651,0.002843228076208014,2
[0.295 0.295 3.555],5053,361,394,4298,6.189639222941722,0.9796484736355228,0.9111933395004626,4.298797409805736,14.270120259019427,13.378353376503238,14.289546716003699,0.002647606051158369,0.0028279332507428656,2
[0.295 0.295 4.   ],5591,348,372,4871,6.7211449676823625,0.9732225300092336,0.8827331486611265,4.8651892890120045,15.298245614035089,14.435826408125575,15.318559556786704,0.002581975748189157,0.0027398604108006984,2
[0.295 0.295 4.753],6477,378,370,5729,7.532347504621072,0.9731977818853974,0.8770794824399261,5.682070240295749,16.914972273567468,16.0637707948244,16.940850277264325,0.0024801251806120736,0.002615539644474961,2
[0.295 0.295 5.663],7424,351,357,6716,8.60387811634349,0.9732225300092336,0.9058171745152356,6.7248384118190225,19.08679593721145,18.20775623268698,19.113573407202214,0.002452553371859776,0.00257456538351323,2
[0.295 0.295 6.79 ],8922,329,377,8216,10.067405355493998,0.9621421975992612,0.9058171745152356,8.199445983379501,22.002770083102494,21.132963988919663,22.038781163434898,0.0023686352823267948,0.0024701615291901928,2
[0.295 0.295 7.11 ],9273,343,323,8607,10.482439926062847,0.9750462107208872,0.909426987060998,8.59796672828096,22.849353049907574,21.963955637707947,22.873382624768947,0.0023685922180209148,0.0024666647929223497,2
[0.295 0.295 8.09 ],10386,321,363,9702,11.5637707948244,0.9759704251386322,0.8650646950092421,9.722735674676523,24.96857670979667,24.12569316081331,24.990757855822547,0.002322905176277037,0.002406196596940357,2
[0.295 0.295 8.92 ],11334,353,343,10638,12.42144177449168,0.9695009242144176,0.8909426987060998,10.560998151571164,26.703327171903886,25.84195933456562,26.732902033271717,0.0022800387625344642,0.002358646729598705,2
[0.295 0.413 0.295],1159,345,489,325,2.8488372093023258,0.9786821705426356,0.9195736434108528,0.9505813953488372,7.59593023255814,5.8187984496124034,5.8187984496124034,0.0050205336062229535,0.0050205336062229535,0
[0.295 0.413 0.413],1368,349,514,505,2.8391866913123844,0.9611829944547134,0.9306839186691312,0.9473197781885396,7.570240295748613,5.794824399260628,5.808687615526803,0.0042359827479975356,0.004246116678016668,0
[0.295 0.413 0.59 ],1599,337,549,713,2.8556891766882515,0.9750231267345052,0.9093432007400556,0.9713228492136909,7.595744680851063,5.821461609620721,6.037927844588344,0.003640688936598325,0.0037760649434573756,0
[0.295 0.413 1.12 ],2229,364,465,1400,3.27634011090573,0.9713493530499075,0.9158964879852126,1.3890942698706101,8.439926062846581,6.245841035120147,8.147874306839187,0.002802082115352242,0.003655394484898693,0
[0.295 0.413 1.568],2667,365,505,1797,3.6851338873499535,0.9584487534626038,0.9252077562326871,1.8014773776546629,9.253924284395199,8.370267774699908,9.295475530932595,0.0031384581082489343,0.0034853676531430805,2
[0.295 0.413 2.24 ],3542,339,508,2695,4.602587800369687,0.9870609981515712,0.921441774491682,2.6940850277264325,11.113678373382623,10.204251386321626,11.12569316081331,0.002880929245150092,0.003141076555847913,2
[0.295 0.413 3.395],4915,365,462,4088,5.996303142329022,0.9768946395563772,0.9251386321626618,4.094269870609981,13.89463955637708,12.991682070240294,13.916820702402955,0.002643272038706062,0.002831499634263064,2
[0.295 0.413 3.555],5035,346,503,4186,6.024976873265495,0.9509713228492136,0.9222941720629048,4.151711378353377,13.923219241443107,13.047178538390382,13.969472710453287,0.002591296631259261,0.0027744732294842666,2
[0.295 0.413 4.   ],5682,397,486,4799,6.67467652495379,0.9731977818853974,0.9186691312384472,4.7828096118299435,15.241219963031426,14.347504621072087,15.266173752310536,0.0025250800107483435,0.0026867606040673238,2
[0.295 0.413 4.753],6553,367,509,5677,7.5286506469500925,0.9611829944547134,0.9075785582255084,5.659889094269871,16.926062846580407,16.045286506469502,16.952865064695008,0.002448540593082481,0.0025870387707454608,2
[0.295 0.413 5.663],7542,367,500,6675,8.545706371191137,0.9759926131117268,0.9113573407202216,6.658356417359188,18.97876269621422,18.08679593721145,18.99815327793167,0.002398143189765507,0.002518980811181606,2
[0.295 0.413 6.79 ],8983,389,495,8099,10.030470914127424,0.9852262234533704,0.9289012003693444,8.11634349030471,21.975069252077564,21.060941828254848,21.989843028624197,0.002344533210314466,0.0024479397783172875,2
[0.295 0.413 7.11 ],9233,367,496,8370,10.279778393351801,0.9732225300092336,0.9289012003693444,8.377654662973223,22.461680517082183,21.557710064635273,22.486611265004612,0.002334854333871469,0.0024354609839710405,2
[0.295 0.413 8.09 ],10462,375,472,9615,11.529085872576175,0.9732225300092336,0.912280701754386,9.643582640812557,24.94367497691597,24.056325023084025,24.968605724838408,0.002299400212491304,0.002386599667830091,2
[0.295 0.413 8.92 ],11588,379,513,10696,12.614035087719298,0.9741458910433979,0.9455216989843028,10.694367497691598,27.1477377654663,26.2280701754386,27.173591874422897,0.002263381961981239,0.002344976861790033,2
[0.295 0.59  0.295],1380,350,663,367,2.854898336414048,0.9639556377079482,0.9390018484288356,0.9519408502772644,7.612754158964879,5.812384473197782,5.908502772643253,0.0042118728066650605,0.004281523748292212,0
[0.295 0.59  0.413],1538,336,685,517,2.8640148011100828,0.9703977798334876,0.9361702127659576,0.9574468085106383,7.6345975948196125,5.827937095282147,5.967622571692878,0.003789295900703606,0.003880118707212533,0
[0.295 0.59  0.59 ],1733,347,699,687,2.8872458410351203,0.9824399260628466,0.94547134935305,0.9593345656192236,7.702402957486137,5.866913123844732,6.145101663585953,0.003385408611566493,0.0035459328699284204,0
[0.295 0.59  1.12 ],2416,350,707,1359,3.2486136783733826,0.9602587800369686,0.9417744916820704,1.346580406654344,8.399260628465804,6.203327171903883,8.147874306839187,0.002567602306251607,0.0033724645309764845,0
[0.295 0.59  1.568],2868,343,677,1848,3.742144177449168,0.966728280961183,0.9353049907578558,1.8401109057301293,9.386321626617377,8.475970425138634,9.411275415896489,0.002955359283521141,0.003281476783785386,2
[0.295 0.59  2.24 ],3747,364,723,2660,4.551246537396122,0.969529085872576,0.9252077562326871,2.656509695290859,10.997229916897506,10.10156971375808,11.026777469990769,0.002695908650589293,0.002942828254601219,2
[0.295 0.59  3.395],5152,320,686,4146,6.044362292051757,0.9741219963031424,0.933456561922366,4.136783733826248,13.99630314232902,13.088724584103513,14.022181146025874,0.002540513312131893,0.0027216966510143397,2
[0.295 0.59  3.555],5366,360,705,4301,6.214417744916822,0.9695009242144176,0.9399260628465804,4.304990757855823,14.338262476894641,13.425138632162662,14.365064695009242,0.0025018894208279287,0.002677052682633105,2
[0.295 0.59  4.   ],5873,357,716,4800,6.6497227356746755,0.9547134935304992,0.9408502772643254,4.754158964879851,15.195009242144177,14.297597042513866,15.238447319778187,0.002434462292272069,0.0025946615562367084,2
[0.295 0.59  4.753],6784,363,721,5700,7.606648199445982,0.9732225300092336,0.9464450600184672,5.686980609418282,17.132963988919663,16.213296398891963,17.159741458910435,0.002389931662572518,0.0025294430216554298,2
[0.295 0.59  5.663],7846,374,667,6805,8.716266173752311,0.9510166358595196,0.9380776340110906,6.827171903881701,19.32162661737523,18.432532347504626,19.370609981515717,0.0023492903833169285,0.002468851641793999,2
[0.295 0.59  6.79 ],9221,360,723,8138,10.062846580406656,0.966728280961183,0.9556377079482441,8.140480591497226,22.048059149722732,21.12569316081331,22.081330868761547,0.002291041444616995,0.00239467854557657,2
[0.295 0.59  7.11 ],9556,317,700,8539,10.457063711911358,0.9806094182825484,0.9390581717451524,8.537396121883656,22.833795013850413,21.913204062788548,22.8522622345337,0.0022931356281695853,0.002391404587121568,2
[0.295 0.59  8.09 ],10840,340,726,9774,11.708872458410351,0.9731977818853974,0.9556377079482441,9.780036968576711,25.346580406654343,24.41682070240296,25.3724584103512,0.0022524742345390184,0.002340632694681845,2
[0.295 0.59  8.92 ],11617,360,737,10520,12.403508771929824,0.9547553093259464,0.9270544783010156,10.521698984302862,26.68882733148661,25.799630655586327,26.726685133887354,0.0022208513949889238,0.0023006529339663732,2
[0.295 1.12  0.295],2081,348,1361,372,2.879963065558633,0.9686057248384118,0.9575253924284396,0.953831948291782,7.6860572483841185,5.848568790397044,6.168051708217912,0.002810460735414245,0.002963984482565071,0
[0.295 1.12  0.413],2283,381,1389,513,2.9075785582255085,0.9768946395563772,0.9648798521256932,0.965804066543438,7.756931608133089,5.8807763401109066,6.455637707948243,0.0025758985283008784,0.0028276993902532827,0
[0.295 1.12  0.59 ],2362,385,1303,674,2.9002770083102494,0.9750692520775625,0.9704524469067404,0.9547553093259464,7.7460757156048015,5.866112650046167,6.7211449676823625,0.002483536261662222,0.002845531315699561,0
[0.295 1.12  1.12 ],3098,359,1393,1346,3.2654949121184087,0.9694727104532841,0.9685476410730804,1.3274745605920444,8.469010175763183,7.530989824236817,8.499537465309897,0.002430919891619373,0.0027435563154647826,2
[0.295 1.12  1.568],3756,387,1411,1958,3.90027700831025,0.9741458910433979,0.9658356417359188,1.9602954755309323,9.740535549399818,8.799630655586334,9.765466297322252,0.002342819663361644,0.002599964402907948,2
[0.295 1.12  2.24 ],4346,361,1329,2656,4.577634011090573,0.9815157116451017,0.9584103512014788,2.6377079482439925,11.095194085027726,10.154343807763402,11.112754158964881,0.002336480397552555,0.0025570073996697834,2
[0.295 1.12  3.395],5622,337,1298,3987,5.937153419593345,0.9750462107208872,0.9593345656192236,4.002772643253235,13.808687615526802,12.871534195933455,13.83086876155268,0.0022894938093086905,0.0024601331841964925,2
[0.295 1.12  3.555],5922,332,1375,4215,6.179463459759482,0.973172987974098,0.96577243293247,4.240518038852914,14.297872340425535,13.35800185013876,14.323774283071229,0.002255657185096042,0.0024187393250711298,2
[0.295 1.12  4.   ],6584,321,1336,4927,6.882624768946395,0.9695009242144176,0.9685767097966728,4.944547134935305,15.703327171903881,14.76524953789279,15.733826247689464,0.0022425956163263654,0.0023897062952140747,2
[0.295 1.12  4.753],7564,343,1390,5831,7.8077634011090575,0.9833641404805916,0.9713493530499075,5.853049907578559,17.570240295748615,16.61460258780037,17.585951940850276,0.002196536566340609,0.002324953984776609,2
[0.295 1.12  5.663],8402,313,1335,6754,8.694085027726432,0.9639556377079482,0.9547134935304992,6.775415896487986,19.306839186691317,18.385397412199627,19.34011090573013,0.0021882167831706297,0.002301846096849575,2
[0.295 1.12  6.79 ],10045,358,1302,8385,10.32162661737523,0.9759704251386322,0.9630314232902032,8.382624768946396,22.582255083179298,21.642329020332717,22.605360443622924,0.00215453748335816,0.002250409202949021,2
[0.295 1.12  7.11 ],10110,360,1373,8377,10.3471837488458,0.9852262234533704,0.9713758079409051,8.390581717451523,22.650969529085874,21.693444136657433,22.664819944598342,0.0021457412598078567,0.002241821952977086,2
[0.295 1.12  8.09 ],11313,368,1335,9610,11.523105360443626,0.9741219963031424,0.9722735674676524,9.576709796672828,24.99260628465804,24.04251386321627,25.014787430683924,0.002125211160895984,0.0022111541970020253,2
[0.295 1.12  8.92 ],12247,307,1308,10632,12.512014787430685,0.9676524953789281,0.9630314232902032,10.581330868761553,26.954713493530498,26.01940850277264,26.982439926062842,0.0021245536460171997,0.002203187713404332,2
[0.295 1.568 0.295],2660,366,1924,370,2.910351201478743,0.9565619223659888,1.0073937153419594,0.9463955637707948,7.784658040665433,5.865988909426987,6.666358595194085,0.002205258988506386,0.002506149847817325,0
[0.295 1.568 0.413],2732,359,1860,513,2.9370952821461613,0.9777983348751156,0.9916743755781684,0.9676225716928771,7.843663274745606,5.912118408880667,7.149861239592968,0.0021640257719182524,0.0026170795166884954,0
[0.295 1.568 0.59 ],3007,369,1936,702,2.9870609981515712,0.9815157116451017,1.0304990757855823,0.9750462107208872,7.9861367837338255,5.968576709796673,7.851201478743067,0.001984894150248312,0.0026109748848497072,0
[0.295 1.568 1.12 ],3674,349,1925,1400,3.4024051803885293,0.9796484736355228,1.0166512488436632,1.4061054579093433,8.801110083256244,7.804810360777059,8.82146160962072,0.0021243359719044803,0.002401051064131933,2
[0.295 1.568 1.568],4156,354,1906,1896,3.8659889094269873,0.9500924214417744,1.010166358595194,1.9057301293900184,9.692236598890943,8.730129390018487,9.74029574861368,0.0021006086116502607,0.0023436707768560343,2
[0.295 1.568 2.24 ],4784,349,1835,2600,4.575785582255083,0.966728280961183,1.0009242144177448,2.6081330868761547,11.119223659889094,10.147874306839187,11.14879852125693,0.002121211184539964,0.002330434473506884,2
[0.295 1.568 3.395],6360,354,1898,4108,6.097966728280961,0.9768946395563772,1.0184842883548983,4.102587800369686,14.191312384473198,13.195933456561926,14.21441774491682,0.0020748323044908683,0.0022349713435403807,2
[0.295 1.568 3.555],6536,368,1882,4286,6.292975970425139,0.9695009242144176,1.0055452865064696,4.317929759704251,14.560998151571164,13.585951940850274,14.591497227356749,0.0020786340178779493,0.0022324812159358553,2
[0.295 1.568 4.   ],7153,327,1841,4985,6.9778393351800565,0.9722991689750692,1.0,5.0055401662049865,15.92797783933518,14.955678670360113,15.955678670360113,0.0020908260408723767,0.0022306275227680847,2
[0.295 1.568 4.753],8044,356,1823,5865,7.798521256931608,0.953789279112754,0.9972273567467652,5.847504621072089,17.548059149722732,16.59611829944547,17.593345656192238,0.002063167366912664,0.0021871389428384184,2
[0.295 1.568 5.663],9050,347,1946,6757,8.715341959334566,0.9482439926062848,1.0203327171903882,6.7467652495378925,19.399260628465804,18.43068391866913,19.45101663585952,0.0020365396595214513,0.002149283606172323,2
[0.295 1.568 6.79 ],10476,337,1895,8244,10.209796672828096,0.9648798521256932,1.0175600739371533,8.227356746765249,22.40203327171904,21.419593345656192,22.437153419593347,0.0020446347218075786,0.0021417672221834046,2
[0.295 1.568 7.11 ],10817,373,1868,8576,10.580406654343806,0.9731977818853974,1.0,8.60720887245841,23.13401109057301,22.160813308687615,23.16081330868761,0.0020487023489588253,0.002141149423008932,2
[0.295 1.568 8.09 ],11938,395,1838,9705,11.682994454713494,0.953789279112754,1.0268022181146026,9.702402957486138,25.346580406654343,24.363216266173747,25.390018484288355,0.0020408122186441405,0.002126823461575503,2
[0.295 1.568 8.92 ],12957,382,1819,10756,12.654343807763402,0.9639556377079482,0.9990757855822552,10.691312384473198,27.271719038817004,26.308687615526804,27.307763401109057,0.002030461342558216,0.0021075683723940004,2
[0.295 2.24  0.295],3391,358,2701,332,3.2643253234750462,0.9584103512014788,1.3585951940850278,0.9473197781885396,8.845656192236598,6.2227356746765246,8.66728280961183,0.0018350739235259586,0.002555966620351469,0
[0.295 2.24  0.413],3362,322,2559,481,3.2234533702677752,0.9676823638042474,1.3000923361034165,0.9556786703601108,8.714681440443213,7.4469067405355505,8.746999076638966,0.002215022825858284,0.002601724888946748,2
[0.295 2.24  0.59 ],3790,380,2680,730,3.276595744680851,0.9750231267345052,1.3348751156336724,0.9666975023126736,8.863089731729879,7.553191489361702,8.888066604995375,0.001992926514343457,0.0023451363073866425,2
[0.295 2.24  1.12 ],4355,370,2687,1298,3.6238447319778184,0.9833641404805916,1.355822550831793,1.2846580406654344,9.586876155268023,8.247689463955638,9.60351201478743,0.001893843734547793,0.002205169234164737,2
[0.295 2.24  1.568],4896,368,2649,1879,4.170055452865065,0.9787430683918668,1.3216266173752311,1.8696857670979667,10.640480591497226,9.34011090573013,10.661737523105359,0.001907702390876252,0.0021776424679545267,2
[0.295 2.24  2.24 ],5732,336,2667,2729,5.047178538390379,0.973172987974098,1.3219241443108234,2.7520814061054577,12.389454209065681,11.094357076780758,12.416281221091582,0.0019355123999966434,0.0021661341976782237,2
[0.295 2.24  3.395],7142,332,2722,4088,6.40258541089566,0.9482917820867959,1.3601108033240996,4.094182825484765,15.113573407202216,13.80517082179132,15.165281625115421,0.0019329558697551556,0.0021233942348243373,2
[0.295 2.24  3.555],7325,322,2751,4252,6.601295097132285,0.9444958371877892,1.3866790009250691,4.270120259019427,15.533765032377426,14.20259019426457,15.589269195189635,0.001938920163039532,0.0021282278764764013,2
[0.295 2.24  4.   ],7722,326,2619,4777,7.055504162812212,0.9555966697502312,1.3126734505087885,4.787234042553191,16.37927844588344,15.111008325624423,16.42368177613321,0.0019568775350458974,0.002126868916878168,2
[0.295 2.24  4.753],8902,350,2757,5795,8.142197599261312,0.9704524469067404,1.394275161588181,5.77746999076639,18.649122807017545,17.284395198522624,18.678670360110804,0.001941630554765516,0.002098255488666682,2
[0.295 2.24  5.663],9867,363,2726,6778,9.145101663585955,0.9695009242144176,1.3678373382624769,6.8077634011090575,20.6275415896488,19.29020332717191,20.65804066543438,0.0019550221270063753,0.0020936496063073255,2
[0.295 2.24  6.79 ],11118,355,2701,8062,10.399260628465806,0.9824399260628466,1.3401109057301297,8.076709796672827,23.121072088724585,21.79852125693161,23.138632162661732,0.001960651309312071,0.002081186558972993,2
[0.295 2.24  7.11 ],11763,386,2758,8619,10.95841035120148,0.9778188539741222,1.3687615526802217,8.611829944547138,24.263401109057302,22.91682070240296,24.28558225508318,0.0019482122504805711,0.0020645738548910296,2
[0.295 2.24  8.09 ],12691,360,2771,9560,11.9196675900277,0.9602954755309326,1.3859649122807018,9.573407202216066,26.18559556786704,24.8393351800554,26.225300092336106,0.0019572401843869986,0.0020664486716835627,2
[0.295 2.24  8.92 ],13991,354,2656,10981,13.259019426456986,0.9694727104532841,1.3376503237742832,10.951896392229417,28.825161887141533,27.51803885291397,28.85568917668825,0.001966838600022441,0.0020624465139509863,2
[0.295 3.395 0.295],4820,353,4119,348,3.963922294172063,0.9481961147086032,2.0638297872340425,0.9518963922294172,10.939870490286772,8.927844588344128,10.99167437557817,0.0018522499145942172,0.0022804303683772137,2
[0.295 3.395 0.413],4933,361,4056,516,3.9224376731301938,0.9566020313942752,2.0120036934441368,0.953831948291782,10.8134810710988,8.844875346260388,10.856879039704523,0.0017930012864910575,0.002200867431523317,2
[0.295 3.395 0.59 ],5173,381,4107,685,3.987049028677151,0.9777983348751156,2.0407030527289547,0.9685476410730804,10.992599444958373,8.974098057354302,11.014801110083257,0.0017347956809113285,0.0021292868954346142,2
[0.295 3.395 1.12 ],5920,368,4167,1385,4.44547134935305,0.9768946395563772,2.0702402957486137,1.3983364140480592,11.93807763401109,9.8909426987061,11.961182994454713,0.0016707673477544087,0.002020470100414648,2
[0.295 3.395 1.568],6305,329,3984,1992,4.956602031394276,0.9639889196675899,1.9944598337950141,1.9981532779316715,12.871652816251155,10.913204062788552,12.907663896583564,0.001730880898142514,0.002047210768688908,2
[0.295 3.395 2.24 ],7149,378,4040,2731,5.751386321626617,0.9815157116451017,2.0240295748613684,2.745841035120148,14.508317929759706,12.502772643253234,14.526802218114602,0.0017488841297039074,0.002032004786419723,2
[0.295 3.395 3.395],8472,359,4118,3995,7.050831792975972,0.9805914972273568,2.0674676524953792,4.002772643253235,17.149722735674676,15.101663585951938,17.16913123844732,0.0017825381947535344,0.002026573564500392,2
[0.295 3.395 3.555],8633,381,4090,4162,7.151571164510165,0.9759704251386322,2.0425138632162656,4.133086876155268,17.32162661737523,15.30314232902033,17.3456561922366,0.0017726331899710801,0.002009226942225947,2
[0.295 3.395 4.   ],9070,345,4075,4650,7.643253234750463,0.9778188539741222,2.023105360443623,4.642329020332717,18.287430683918668,16.286506469500925,18.309611829944547,0.0017956456967476212,0.002018700312011527,2
[0.295 3.395 4.753],10198,341,4034,5823,8.841959334565619,0.9713493530499075,2.0323475046210717,5.83826247689464,20.68761552680222,18.683918669131238,20.71626617375231,0.0018321159706933946,0.0020314048022898913,2
[0.295 3.395 5.663],11392,341,4170,6881,9.946395563770793,0.9741219963031424,2.080406654343808,6.8918669131238435,22.94731977818854,20.89279112754159,22.9731977818854,0.0018339879852125691,0.0020166079513593217,2
[0.295 3.395 6.79 ],12351,340,4015,7996,10.961182994454713,0.9731977818853974,2.0027726432532353,7.985212569316081,24.898336414048057,22.922365988909426,24.92513863216266,0.001855911747138647,0.0020180664425684283,2
[0.295 3.395 7.11 ],12766,353,4026,8387,11.377079482439926,0.9621072088724584,2.012014787430684,8.402957486136781,25.728280961183,23.754158964879853,25.766173752310532,0.0018607362497947558,0.002018343549452493,2
[0.295 3.395 8.09 ],14064,366,4030,9668,12.647874306839187,0.9750462107208872,2.0175600739371533,9.655268022181145,28.28835489833641,26.29574861367837,28.31330868761553,0.001869720464567575,0.0020131761012240853,2
[0.295 3.395 8.92 ],15331,353,4092,10886,13.911275415896487,0.9796672828096118,2.0323475046210717,10.899260628465806,30.83456561922366,28.822550831792974,30.854898336414053,0.0018800176656312683,0.002012582240976717,2
[0.295 3.555 0.295],4949,361,4231,357,4.038817005545287,0.9574861367837338,2.1192236598890943,0.9621072088724584,11.154343807763402,9.077634011090574,11.19685767097967,0.0018342360095151692,0.002262448508987607,2
[0.295 3.555 0.413],5144,371,4270,503,4.049861495844875,0.9602954755309326,2.137580794090489,0.9519852262234534,11.19759926131117,9.09972299168975,11.23730378578024,0.0017689974711683032,0.0021845458370490355,2
[0.295 3.555 0.59 ],5309,340,4252,717,4.086876155268023,0.9833641404805916,2.1460258780036967,0.9574861367837338,11.30314232902033,9.173752310536042,11.319778188539741,0.0017279623866144366,0.002132186511309049,2
[0.295 3.555 1.12 ],5930,329,4291,1310,4.404805914972274,0.9602587800369686,2.146950092421442,1.2975970425138632,11.916820702402955,9.809611829944547,11.956561922365987,0.0016542347099400589,0.0020162836294040447,2
[0.295 3.555 1.568],6533,354,4255,1924,5.010175763182239,0.9666975023126736,2.106382978723404,1.937095282146161,13.093432007400555,11.020351526364477,13.126734505087883,0.001686874563962112,0.0020092965720324325,2
[0.295 3.555 2.24 ],7212,334,4221,2657,5.723404255319148,0.962072155411656,2.0915818686401484,2.6697502312673453,14.500462534690106,12.446808510638302,14.538390379278448,0.0017258469926009845,0.002015861117481759,2
[0.295 3.555 3.395],8699,392,4239,4068,7.144177449168207,0.965804066543438,2.129390018484288,4.04898336414048,17.38354898336414,15.288354898336413,17.417744916820702,0.0017574841818986564,0.002002269791564628,2
[0.295 3.555 3.555],8767,379,4154,4234,7.2680221811460255,0.9593345656192236,2.0776340110905736,4.231053604436228,17.57301293900185,15.536044362292055,17.613678373382626,0.0017721049803002225,0.0020090884422701754,2
[0.295 3.555 4.   ],9560,356,4355,4849,7.990757855822551,0.9815157116451017,2.1737523105360443,4.835489833641405,19.136783733826253,16.981515711645102,19.155268022181147,0.0017763091748582746,0.002003689123659116,2
[0.295 3.555 4.753],10340,383,4246,5711,8.813308687615526,0.9713493530499075,2.1109057301293896,5.731053604436228,20.70887245841035,18.626617375231053,20.737523105360445,0.0018014136726529067,0.0020055631629942398,2
[0.295 3.555 5.663],11467,376,4231,6860,9.89463955637708,0.9741219963031424,2.0859519408502774,6.83456561922366,22.849353049907574,20.78927911275416,22.87523105360444,0.0018129658247801653,0.001994874950170441,2
[0.295 3.555 6.79 ],12638,371,4073,8194,11.184842883548985,0.9685767097966728,2.051756007393716,8.164510166358594,25.390018484288355,23.36968576709797,25.421441774491683,0.001849160133494063,0.002011508290432955,2
[0.295 3.555 7.11 ],13347,378,4310,8659,11.777264325323474,0.9611829944547134,2.158964879852125,8.657116451016638,26.67467652495379,24.554528650646947,26.713493530499072,0.001839703952247468,0.00200146051775673,2
[0.295 3.555 8.09 ],14314,327,4344,9643,12.807763401109055,0.9741219963031424,2.178373382624769,9.655268022181145,28.768022181146026,26.615526802218113,28.793900184842887,0.001859405253752837,0.002011590064611072,2
[0.295 3.555 8.92 ],15207,338,4266,10603,13.711645101663587,0.9704251386321626,2.168207024029575,10.573012939001847,30.56192236598891,28.423290203327173,30.591497227356747,0.0018690925365507445,0.0020116720738710295,2
[0.295 4.    0.295],5522,371,4793,358,4.302218114602588,0.9676524953789281,2.4029574861367844,0.9316081330868762,11.975046210720887,9.604436229205175,12.007393715341962,0.0017393039169150987,0.002174464635157907,2
[0.295 4.    0.413],5657,365,4774,518,4.309611829944547,0.9713493530499075,2.3743068391866915,0.9639556377079482,11.964879852125692,9.619223659889094,11.993530499075785,0.0017004107583328786,0.002120122060999785,2
[0.295 4.    0.59 ],5916,391,4794,731,4.333333333333333,0.9732225300092336,2.388734995383195,0.9713758079409051,12.028624192059095,9.666666666666666,12.055401662049864,0.001633986928104575,0.0020377622822937568,2
[0.295 4.    1.12 ],6477,354,4762,1361,4.687326549491212,0.9454209065679926,2.3876040703052728,1.3543015726179464,12.70767807585569,10.374653098982424,12.762257169287697,0.0016017682721912033,0.0019703963515960623,2
[0.295 4.    1.568],7003,328,4831,1844,5.2227356746765246,0.9722735674676524,2.4075785582255085,1.842883548983364,13.825323475046213,11.445471349353046,13.853974121996306,0.0016343668926678634,0.0019782913211475518,2
[0.295 4.    2.24 ],7752,337,4706,2709,6.018484288354897,0.9768946395563772,2.344731977818854,2.6968576709796674,15.358595194085028,13.036968576709794,15.383548983364141,0.0016817554923516248,0.001984461943158429,2
[0.295 4.    3.395],9306,339,4953,4014,7.440850277264325,0.9630314232902032,2.4611829944547137,4.0166358595194085,18.305914972273566,15.881700554528651,18.34288354898336,0.0017066086991756554,0.0019710814043609887,2
[0.295 4.    3.555],9550,341,4853,4356,7.7624768946395575,0.9639556377079482,2.423290203327172,4.375231053604436,18.912199630314234,16.524953789279113,18.948243992606283,0.0017303616533276556,0.0019841093185975164,2
[0.295 4.    4.   ],9961,353,4799,4809,8.202402957486138,0.9815157116451017,2.3872458410351203,4.833641404805915,19.77356746765249,17.404805914972275,19.792051756007396,0.0017472950421616575,0.001986954297360445,2
