rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[0.59 0.59 0.59],2122,692,726,704,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4039,662,720,2657,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6180,682,686,4812,5,1,1,3,12,11,13,2
[0.59 2.24 0.59],4120,772,2611,737,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],6138,752,2734,2652,3,1,1,1,8,7,9,2
[0.59 2.24 4.  ],8118,700,2665,4753,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6083,679,4692,712,4,1,2,1,11,10,12,1
[0.59 4.   2.24],8310,735,4833,2742,3,1,1,1,8,7,7,2
[0.59 4.   4.  ],10433,719,4873,4841,5,1,1,3,12,11,16,2
[2.24 0.59 0.59],4020,2620,683,717,4,2,1,1,11,9,10,0
[2.24 0.59 2.24],6179,2727,705,2747,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8195,2681,667,4847,4,1,1,2,10,9,10,2
[2.24 2.24 0.59],6227,2779,2728,720,3,1,1,1,8,7,8,0
[2.24 2.24 2.24],8172,2658,2768,2746,3,1,1,1,8,7,7,2
[2.24 2.24 4.  ],10170,2618,2784,4768,4,1,1,2,10,10,12,2
[2.24 4.   0.59],8185,2675,4807,703,6,2,2,2,16,14,17,1
[2.24 4.   2.24],10156,2712,4749,2695,3,1,1,1,8,7,10,2
[2.24 4.   4.  ],12039,2702,4687,4650,4,1,1,2,10,10,16,3
[4.   0.59 0.59],6226,4822,719,685,4,2,1,1,11,8,13,0
[4.   0.59 2.24],8315,4881,734,2700,4,2,1,1,11,9,13,2
[4.   0.59 4.  ],10212,4713,715,4784,5,2,1,2,13,13,16,3
[4.   2.24 0.59],8214,4743,2735,736,4,2,1,1,11,9,10,2
[4.   2.24 2.24],10348,5000,2729,2619,5,2,1,2,13,13,18,3
[4.   2.24 4.  ],12276,4817,2663,4796,6,3,1,2,16,16,22,3
[4.   4.   0.59],10459,4886,4863,710,5,3,1,1,14,13,17,1
[4.   4.   2.24],12263,4805,4763,2695,5,3,1,1,14,12,18,2
[4 4 4],14314,4838,4788,4688,6,3,1,2,16,14,20,2
[0.59 0.59 0.59],2149,726,712,711,4,1,2,1,11,7,7,0
[0.59 0.59 2.24],4152,715,713,2724,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6179,690,692,4797,4,1,1,2,10,9,11,2
[0.59 2.24 0.59],4037,727,2619,691,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],6060,752,2676,2632,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8228,753,2715,4760,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6166,699,4751,716,3,1,1,1,8,7,8,2
[0.59 4.   2.24],8366,767,4894,2705,5,1,3,1,14,12,15,1
[0.59 4.   4.  ],10203,685,4833,4685,4,1,1,2,10,9,10,2
[2.24 0.59 0.59],4105,2691,719,695,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],6034,2672,720,2642,4,1,1,2,10,10,11,3
[2.24 0.59 4.  ],8226,2694,719,4813,5,1,1,3,12,11,13,2
[2.24 2.24 0.59],6170,2710,2736,724,3,1,1,1,8,8,8,3
[2.24 2.24 2.24],8098,2698,2664,2736,3,1,1,1,8,8,8,3
[2.24 2.24 4.  ],10156,2660,2752,4744,6,3,1,2,16,13,14,2
[2.24 4.   0.59],8229,2689,4825,715,4,2,1,1,11,9,10,2
[2.24 4.   2.24],10082,2691,4741,2650,3,1,1,1,8,8,9,3
[2.24 4.   4.  ],12460,2731,4899,4830,5,1,2,2,13,11,17,1
[4.   0.59 0.59],6189,4824,693,672,5,4,0,1,14,11,15,2
[4.   0.59 2.24],8152,4753,712,2687,4,2,1,1,11,11,15,3
[4.   0.59 4.  ],10348,4864,699,4785,6,3,1,2,16,13,20,2
[4.   2.24 0.59],8182,4782,2680,720,4,2,1,1,11,9,12,0
[4.   2.24 2.24],10167,4838,2665,2664,5,3,1,1,14,12,16,2
[4.   2.24 4.  ],12422,4882,2736,4804,7,3,1,3,18,16,22,2
[4.   4.   0.59],10169,4714,4663,792,4,2,1,1,11,11,16,1
[4.   4.   2.24],12210,4789,4763,2658,4,2,1,1,11,11,16,3
[4 4 4],14397,4757,4842,4798,5,2,1,2,13,13,20,3
[0.59 0.59 0.59],2135,698,721,716,2,1,0,1,5,5,5,2
[0.59 0.59 2.24],4135,704,725,2706,4,1,2,1,11,7,9,0
[0.59 0.59 4.  ],6248,722,737,4789,4,1,1,2,10,9,11,2
