rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[0.59 0.59 0.59],2143,727,725,691,2,1,0,1,5,5,5,2
[0.59 0.59 2.24],4237,756,754,2727,4,1,1,2,10,9,10,2
[0.59 0.59 4.  ],6259,761,674,4824,5,1,1,3,12,11,13,2
[0.59 0.59 6.79],9567,688,692,8187,6,1,1,4,14,13,17,2
[0.59 0.59 7.11],9938,726,706,8506,6,1,1,4,14,13,16,2
[0.59 0.59 8.09],11189,679,736,9774,7,1,1,5,16,15,19,2
[0.59 0.59 8.92],12236,738,731,10767,7,1,1,5,16,15,19,2
[0.59 2.24 0.59],4146,714,2756,676,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],6273,728,2826,2719,3,1,1,1,8,7,9,1
[0.59 2.24 4.  ],8241,723,2685,4833,5,1,1,3,12,11,13,2
[0.59 2.24 6.79],11608,709,2706,8193,5,1,1,3,12,11,14,2
[0.59 2.24 7.11],12072,730,2719,8623,6,1,1,4,14,13,16,2
[0.59 2.24 8.09],13057,698,2657,9702,7,1,1,5,16,15,19,2
[0.59 2.24 8.92],14157,780,2720,10657,7,1,1,5,16,15,19,2
[0.59 4.   0.59],6298,722,4812,764,3,1,1,1,8,8,11,1
[0.59 4.   2.24],8123,695,4876,2552,3,1,1,1,8,7,8,1
[0.59 4.   4.  ],10127,711,4722,4694,4,1,1,2,10,9,12,2
[0.59 4.   6.79],13619,737,4720,8162,5,1,1,3,12,11,13,2
[0.59 4.   7.11],13807,691,4836,8280,7,1,2,4,17,15,26,2
[0.59 4.   8.09],15416,744,4793,9879,7,1,1,5,16,15,25,2
[0.59 4.   8.92],16320,717,4789,10814,10,2,2,6,24,21,33,2
[0.59 6.79 0.59],9714,733,8265,716,4,1,2,1,11,11,20,3
[0.59 6.79 2.24],11622,675,8330,2617,5,2,2,1,14,9,17,0
[0.59 6.79 4.  ],13671,700,8205,4766,6,2,2,2,16,13,21,2
[0.59 6.79 6.79],17072,754,8101,8217,8,2,2,4,20,17,27,2
[0.59 6.79 7.11],17144,742,8020,8382,8,2,2,4,20,17,27,2
[0.59 6.79 8.09],18519,669,8095,9755,7,1,1,5,16,16,26,3
[0.59 6.79 8.92],19413,673,8108,10632,8,1,2,5,19,19,30,3
[0.59 7.11 0.59],9929,681,8530,718,5,2,2,1,14,11,18,2
[0.59 7.11 2.24],11951,691,8522,2738,5,1,2,2,13,12,17,1
[0.59 7.11 4.  ],13983,698,8553,4732,6,2,2,2,16,13,22,2
[0.59 7.11 6.79],17451,776,8484,8191,7,1,3,3,18,16,31,1
[0.59 7.11 7.11],17799,737,8553,8509,8,1,2,5,19,17,29,2
[0.59 7.11 8.09],18960,693,8569,9698,7,1,2,4,17,17,31,3
[0.59 7.11 8.92],20041,690,8633,10718,8,1,2,5,19,19,30,3
[0.59 8.09 0.59],11012,702,9561,749,4,1,2,1,11,11,20,3
[0.59 8.09 2.24],13091,682,9729,2680,5,2,2,1,14,11,18,2
[0.59 8.09 4.  ],15206,666,9718,4822,7,1,3,3,18,15,30,2
[0.59 8.09 6.79],18650,721,9754,8175,6,1,2,3,15,15,26,3
[0.59 8.09 7.11],19118,718,9676,8724,8,1,2,5,19,19,34,3
[0.59 8.09 8.09],20054,709,9583,9762,7,1,2,4,17,17,31,3
[0.59 8.09 8.92],20975,704,9571,10700,8,1,2,5,19,19,34,3
[0.59 8.92 0.59],12019,673,10653,693,4,1,2,1,11,9,17,2
[0.59 8.92 2.24],13949,697,10581,2671,5,1,3,1,14,12,19,1
[0.59 8.92 4.  ],16347,711,10760,4876,9,1,5,3,24,21,32,1
[0.59 8.92 6.79],19413,690,10573,8150,7,1,2,4,17,17,30,3
[0.59 8.92 7.11],19863,724,10561,8578,7,1,3,3,18,15,28,1
[0.59 8.92 8.09],21182,703,10806,9673,9,2,3,4,23,19,37,2
[0.59 8.92 8.92],21780,634,10592,10554,8,1,2,5,19,19,35,3
[2.24 0.59 0.59],4054,2654,676,724,4,1,2,1,11,7,7,0
[2.24 0.59 2.24],6031,2703,683,2645,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8311,2677,708,4926,5,1,1,3,12,12,14,3
[2.24 0.59 6.79],11732,2725,724,8283,6,1,1,4,14,14,17,3
[2.24 0.59 7.11],11920,2708,710,8502,7,1,1,5,16,16,20,3
[2.24 0.59 8.09],13066,2674,699,9693,6,1,1,4,14,14,18,3
