rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[0.59 0.59 0.59],2140,709,711,720,3,1,1,1,8,6,6,0.002803738317757009,0.002803738317757009,0
[0.59 0.59 2.24],4019,691,697,2631,4,1,1,2,10,8,10,0.0019905449116695696,0.002488181139586962,0
[0.59 0.59 4.  ],6409,728,738,4943,6,1,1,4,14,13,14,0.0020283975659229213,0.002184428147916992,2
[0.59 0.59 6.79],9566,733,733,8100,9,1,1,7,20,19,20,0.0019862011289985366,0.0020907380305247754,2
[0.59 0.59 7.11],9966,710,717,8539,10,1,1,8,22,21,22,0.002107164358819988,0.002207505518763797,2
[0.59 0.59 8.09],11126,758,695,9673,12,1,1,10,26,25,26,0.002246989034693511,0.002336868596081251,2
[0.59 0.59 8.92],11941,724,666,10551,12,1,1,10,26,25,26,0.0020936269994137843,0.002177372079390336,2
[0.59 2.24 0.59],4111,729,2675,707,3,1,1,1,8,7,8,0.0017027487229384578,0.0019459985405010946,2
[0.59 2.24 2.24],6140,707,2631,2802,5,1,1,3,12,11,12,0.0017915309446254074,0.001954397394136808,2
[0.59 2.24 4.  ],8289,767,2730,4792,7,1,1,5,16,15,16,0.0018096272167933407,0.0019302690312462296,2
[0.59 2.24 6.79],11636,717,2696,8223,9,1,1,7,20,19,20,0.0016328635269852185,0.0017188037126160192,2
[0.59 2.24 7.11],11901,708,2672,8521,11,1,2,8,25,23,25,0.0019326107049827746,0.0021006638097638853,2
[0.59 2.24 8.09],13090,705,2632,9753,12,1,1,10,26,25,26,0.0019098548510313215,0.0019862490450725744,2
[0.59 2.24 8.92],13978,727,2736,10515,12,1,1,10,26,25,26,0.0017885248247245672,0.0018600658177135496,2
[0.59 4.   0.59],6259,738,4834,687,4,1,2,1,11,9,11,0.0014379293816903658,0.0017574692442882249,2
[0.59 4.   2.24],8247,698,4894,2655,6,1,2,3,15,15,17,0.001818843215714805,0.00206135564447678,3
[0.59 4.   4.  ],10388,711,4864,4813,8,1,2,5,19,19,21,0.0018290335001925296,0.0020215633423180594,3
[0.59 4.   6.79],13673,707,4780,8186,11,1,2,8,25,25,27,0.0018284209756454328,0.0019746946536970678,3
[0.59 4.   7.11],13891,719,4735,8437,11,1,2,8,25,25,27,0.0017997264415808797,0.0019437045569073504,3
[0.59 4.   8.09],15181,699,4809,9673,13,1,3,9,30,28,31,0.0018444107766286805,0.002042026216981753,2
[0.59 4.   8.92],16288,686,4828,10774,13,1,2,10,29,27,29,0.0016576620825147347,0.0017804518664047149,2
[0.59 6.79 0.59],9477,753,8028,696,5,1,3,1,14,14,17,0.0014772607365199958,0.0017938166086314234,3
[0.59 6.79 2.24],11548,693,8098,2757,7,1,3,3,18,18,21,0.0015587114651887774,0.0018184967093869066,3
[0.59 6.79 4.  ],13603,669,8077,4857,10,1,4,5,25,25,29,0.0018378298904653386,0.0021318826729397927,3
[0.59 6.79 6.79],17020,731,8124,8165,13,1,4,8,31,31,35,0.0018213866039953,0.002056404230317274,3
[0.59 6.79 7.11],17288,741,8162,8385,14,1,5,8,34,34,39,0.001966682091624248,0.002255900046274873,3
[0.59 6.79 8.09],18677,697,8186,9794,14,1,4,9,33,33,37,0.0017668790490978211,0.0019810462065642234,3
[0.59 6.79 8.92],19509,717,8092,10700,15,1,4,10,35,35,39,0.001794043774668102,0.001999077348915885,3
[0.59 7.11 0.59],10103,710,8688,705,4,1,2,1,11,11,13,0.0010887855092546767,0.0012867465109373452,3
[0.59 7.11 2.24],11898,700,8528,2670,7,1,3,3,18,18,21,0.0015128593040847204,0.0017650025214321734,3
[0.59 7.11 4.  ],13974,677,8552,4745,10,1,5,4,26,26,31,0.0018605982539001,0.00221840561041935,3
[0.59 7.11 6.79],17390,754,8599,8037,13,1,4,8,31,31,35,0.0017826336975273144,0.0020126509488211613,3
[0.59 7.11 7.11],17719,692,8460,8567,13,1,4,8,31,31,35,0.0017495343981037304,0.0019752807720525988,3
[0.59 7.11 8.09],19006,722,8726,9558,14,1,4,9,33,33,37,0.0017362938019572767,0.001946753656739977,3
[0.59 7.11 8.92],19805,707,8561,10537,15,1,4,10,35,35,39,0.0017672304973491548,0.0019691996970462003,3
[0.59 8.09 0.59],11289,752,9791,746,7,1,5,1,20,20,25,0.001771636105943839,0.002214545132429799,3
[0.59 8.09 2.24],13055,676,9671,2708,9,1,5,3,24,24,29,0.0018383761011106857,0.002221371122175412,3
[0.59 8.09 4.  ],15304,734,9759,4811,11,1,5,5,28,28,33,0.0018295870360690017,0.002156299006795609,3
[0.59 8.09 6.79],18709,676,9806,8227,12,1,4,7,29,29,33,0.0015500561227216848,0.0017638569672350207,3
[0.59 8.09 7.11],18748,693,9655,8400,15,1,5,9,36,36,41,0.0019202048218476641,0.0021868999359931727,3
[0.59 8.09 8.09],20080,724,9756,9600,15,1,5,9,36,36,41,0.0017928286852589642,0.002041832669322709,3
[0.59 8.09 8.92],21102,694,9755,10653,18,1,6,11,43,43,49,0.002037721542981708,0.002322054781537295,3
[0.59 8.92 0.59],12206,730,10756,720,8,1,5,2,22,20,28,0.0016385384237260366,0.0022939537932164513,1
[0.59 8.92 2.24],14088,668,10695,2725,9,1,5,3,24,24,29,0.0017035775127768314,0.0020584894946053373,3
[0.59 8.92 4.  ],16286,698,10882,4706,11,1,5,5,28,28,33,0.0017192680830160874,0.0020262802406975314,3
[0.59 8.92 6.79],19613,729,10711,8173,13,1,5,7,32,32,37,0.0016315708968541276,0.0018865038494875848,3
[0.59 8.92 7.11],19760,701,10524,8535,15,1,5,9,36,36,41,0.0018218623481781374,0.002074898785425101,3
[0.59 8.92 8.09],21198,723,10623,9852,16,1,5,10,38,38,43,0.0017926219454665535,0.0020284932540805736,3
