rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[0.59  0.177 0.177],1143,703,207,233,0,0,0,0,0,0,0,0.0,0.0,0
[2.24  0.672 0.672],4322,2720,796,806,4,2,1,1,11,9,9,0.0020823692734844978,0.0020823692734844978,0
[4.  1.2 1.2],7662,4757,1468,1437,7,5,1,1,20,17,20,0.002218741842860872,0.0026102845210127907,2
[6.79 2.03 2.03],13079,8156,2436,2487,11,8,1,2,31,27,31,0.002064378010551265,0.002370211789892193,2
[7.11 2.13 2.13],13654,8646,2471,2537,11,8,1,2,31,26,31,0.0019042038962941265,0.002270396953273766,2
[8.09 2.42 2.42],15455,9554,2965,2936,15,10,2,3,42,34,42,0.002199935296020705,0.0027175671303785185,0
[8.92 2.67 2.67],17128,10728,3210,3190,16,11,2,3,45,39,46,0.00227697337692667,0.0026856609061186357,2
[0.59  0.177 0.177],1136,702,217,217,3,1,1,1,8,6,6,0.00528169014084507,0.00528169014084507,0
[2.24  0.672 0.672],4302,2691,806,805,4,2,1,1,11,10,10,0.0023245002324500234,0.0023245002324500234,1
[4.  1.2 1.2],7626,4812,1389,1425,6,4,1,1,17,15,17,0.001966955153422502,0.0022292158405455022,2
[6.79 2.03 2.03],13164,8294,2481,2389,11,8,1,2,31,27,31,0.002051048313582498,0.002354907323002127,2
[7.11 2.13 2.13],13506,8518,2484,2504,12,8,1,3,33,29,33,0.002147193839774915,0.002443358507330076,2
[8.09 2.42 2.42],15387,9683,2837,2867,14,10,1,3,39,34,39,0.002209657503087021,0.002534607135893937,2
[8.92 2.67 2.67],17047,10636,3133,3278,14,10,1,3,39,33,39,0.001935824485246671,0.0022877925734733386,2
[0.59  0.177 0.177],1122,740,198,184,2,1,1,0,6,5,5,0.004456327985739751,0.004456327985739751,0
[2.24  0.672 0.672],4302,2694,820,788,4,2,1,1,11,10,10,0.0023245002324500234,0.0023245002324500234,1
[4.  1.2 1.2],7698,4796,1422,1480,7,5,1,1,20,19,19,0.002468173551571837,0.002468173551571837,1
[6.79 2.03 2.03],12965,8165,2417,2383,11,8,1,2,31,26,30,0.0020053991515618973,0.002313922097956036,0
[7.11 2.13 2.13],13612,8454,2589,2569,12,8,1,3,33,33,34,0.002424331472230385,0.002497796062297973,3
[8.09 2.42 2.42],15474,9592,2919,2963,13,9,1,3,36,36,37,0.0023264831329972853,0.002391107664469433,3
[8.92 2.67 2.67],17221,10762,3206,3253,16,10,2,4,44,39,45,0.0022646768480343764,0.0026130886708088962,2
[0.59  0.177 0.177],1088,727,149,212,2,1,0,1,5,5,5,0.004595588235294118,0.004595588235294118,0
[2.24  0.672 0.672],4329,2702,836,791,5,3,1,1,14,11,11,0.002541002541002541,0.002541002541002541,0
[4.  1.2 1.2],7755,4852,1464,1439,8,5,1,2,22,20,22,0.0025789813023855573,0.0028368794326241137,2
[6.79 2.03 2.03],12798,7913,2397,2488,12,8,2,2,34,29,34,0.002265979059228005,0.0026566651039224877,2
[7.11 2.13 2.13],13460,8512,2514,2434,11,8,1,2,31,27,31,0.0020059435364041607,0.0023031203566121843,2
[8.09 2.42 2.42],15759,9934,2924,2901,15,10,2,3,42,35,42,0.0022209531061615586,0.00266514372739387,0
[8.92 2.67 2.67],17060,10674,3205,3181,16,10,2,4,44,38,45,0.002227432590855803,0.002637749120750293,2
[0.59  0.177 0.177],1187,761,199,227,3,1,1,1,8,6,6,0.005054759898904802,0.005054759898904802,0
