rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,8,19,10,10,0.5263157894736842,1.0,0
0,18,46,21,29,0.4565217391304348,0.7241379310344828,2
1.5,34,90,42,140,0.4666666666666667,0.3,2
2.0,49,136,60,236,0.4411764705882353,0.2542372881355932,2
2.5,56,139,67,206,0.4820143884892086,0.325242718446602,2
3.0,47,127,58,205,0.4566929133858268,0.28292682926829266,2
0.5,11,30,15,51,0.5,0.29411764705882354,0
1.0,24,63,30,104,0.4761904761904762,0.28846153846153844,2
1.5,29,74,36,109,0.4864864864864865,0.3302752293577982,2
2.0,36,93,45,141,0.4838709677419355,0.3191489361702128,2
2.5,50,134,61,235,0.4552238805970149,0.2595744680851064,2
3.0,50,133,62,238,0.4661654135338346,0.2605042016806723,2
