rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,9,25,9,31,0.36,0.2903225806451613,0
1.0,18,46,7,22,0.15217391304347827,0.3181818181818182,0
1.5,33,90,15,84,0.16666666666666666,0.17857142857142858,0
2.0,39,101,16,93,0.15841584158415842,0.1720430107526882,14
2.5,44,120,18,111,0.15,0.16216216216216214,0
3.0,79,215,28,187,0.13023255813953488,0.1497326203208556,0
0.5,10,27,8,24,0.2962962962962963,0.3333333333333333,0
1.0,18,49,11,57,0.22448979591836732,0.19298245614035087,0
1.5,27,74,10,49,0.13513513513513514,0.20408163265306126,0
2.0,43,122,24,159,0.19672131147540986,0.1509433962264151,0
2.5,47,128,20,124,0.15625,0.16129032258064516,0
3.0,52,143,20,126,0.13986013986013987,0.15873015873015872,0
3.5,76,204,32,217,0.1568627450980392,0.14746543778801846,0
4.0,76,205,29,195,0.14146341463414633,0.14871794871794872,0
4.5,94,254,36,252,0.14173228346456693,0.14285714285714285,0
5.0,110,285,38,267,0.13333333333333333,0.14232209737827714,0
5.5,127,335,45,318,0.13432835820895522,0.14150943396226415,0
6.0,91,245,32,220,0.1306122448979592,0.14545454545454545,0
3.5,70,182,25,170,0.13736263736263735,0.14705882352941174,0
4.0,77,207,28,189,0.13526570048309178,0.14814814814814814,0
4.5,93,243,31,216,0.12757201646090535,0.14351851851851852,0
5.0,93,249,34,237,0.13654618473895586,0.14345991561181434,14
5.5,123,321,43,307,0.13395638629283488,0.14006514657980454,0
6.0,125,333,40,286,0.12012012012012012,0.13986013986013987,0

