rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,17,40,21,67,0.525,3.1904761904761907,2
1.0,20,39,20,61,0.5128205128205128,3.05,2
1.5,41,79,29,98,0.3670886075949367,3.3793103448275863,0
2.0,70,127,86,323,0.6771653543307087,3.755813953488372,1
2.5,77,140,83,315,0.5928571428571429,3.7951807228915664,1
3.0,85,182,88,328,0.4835164835164835,3.727272727272727,3
3.5,126,250,140,536,0.56,3.8285714285714287,3
4.0,92,194,93,352,0.4793814432989691,3.78494623655914,3
4.5,148,298,178,685,0.5973154362416108,3.848314606741573,3
5.0,158,300,214,829,0.7133333333333334,3.873831775700935,3
5.5,171,350,228,885,0.6514285714285715,3.881578947368421,3
6.0,165,339,249,969,0.7345132743362832,3.8915662650602414,1
0.5,24,51,18,55,0.35294117647058826,3.055555555555556,2
1.0,30,62,23,72,0.3709677419354839,3.1304347826086962,2
1.5,40,89,61,224,0.6853932584269663,3.672131147540984,2
2.0,61,112,48,173,0.42857142857142855,3.6041666666666665,2
2.5,63,138,90,341,0.6521739130434783,3.7888888888888888,2
3.0,90,195,116,443,0.5948717948717949,3.818965517241379,3
3.5,114,235,120,459,0.5106382978723404,3.825,3
4.0,124,255,185,717,0.7254901960784313,3.875675675675676,3
4.5,153,331,207,801,0.6253776435045317,3.8695652173913038,3
5.0,151,308,191,738,0.6201298701298701,3.863874345549738,3
5.5,187,396,241,940,0.6085858585858586,3.9004149377593365,3
6.0,157,334,220,855,0.6586826347305389,3.886363636363636,3
0.5,18,38,18,53,0.4736842105263158,2.9444444444444446,2
1.0,34,71,40,141,0.5633802816901409,3.525,2
1.5,46,83,52,187,0.6265060240963856,3.5961538461538463,1
2.0,75,150,89,338,0.5933333333333334,3.7977528089887636,0
2.5,68,130,68,248,0.5230769230769231,3.647058823529412,3
3.0,96,199,118,448,0.592964824120603,3.7966101694915255,3
3.5,109,237,156,604,0.6582278481012658,3.8717948717948723,3
4.0,110,234,137,528,0.5854700854700855,3.854014598540146,3
4.5,161,306,193,746,0.630718954248366,3.8652849740932638,3
5.0,144,274,155,596,0.5656934306569343,3.8451612903225807,3
5.5,151,297,197,766,0.6632996632996633,3.888324873096447,3
6.0,175,357,221,857,0.6190476190476191,3.8778280542986425,3
0.5,16,33,16,45,0.4848484848484849,2.8125,2
1.0,29,64,24,75,0.375,3.125,2
1.5,46,106,59,218,0.5566037735849056,3.694915254237288,2
2.0,54,111,61,225,0.5495495495495496,3.6885245901639343,3
2.5,72,147,87,329,0.5918367346938775,3.781609195402299,2
3.0,89,171,102,386,0.5964912280701754,3.7843137254901964,3
3.5,109,221,108,409,0.4886877828054298,3.787037037037037,3
4.0,117,247,142,549,0.5748987854251012,3.866197183098592,3
4.5,133,296,191,741,0.6452702702702703,3.8795811518324608,3
5.0,145,285,170,657,0.5964912280701754,3.8647058823529417,3
5.5,169,373,273,1065,0.7319034852546917,3.9010989010989015,3
6.0,187,409,269,1052,0.6577017114914425,3.9107806691449816,1
0.5,15,28,15,41,0.5357142857142857,2.7333333333333334,2
1.0,32,70,41,144,0.5857142857142857,3.5121951219512195,2
1.5,44,93,55,200,0.5913978494623656,3.636363636363636,2
2.0,69,118,57,209,0.4830508474576271,3.6666666666666665,2
2.5,79,161,92,349,0.5714285714285714,3.793478260869565,2
3.0,104,217,141,542,0.6497695852534562,3.8439716312056738,3
3.5,111,213,122,464,0.5727699530516432,3.80327868852459,3
4.0,114,245,128,490,0.5224489795918368,3.828125,3
4.5,142,298,181,703,0.6073825503355704,3.883977900552486,1
5.0,155,299,196,763,0.6555183946488294,3.8928571428571432,1
5.5,202,412,265,1030,0.6432038834951457,3.8867924528301887,3
6.0,182,369,239,929,0.6476964769647696,3.8870292887029287,3
0.5,20,35,14,39,0.4,2.7857142857142856,2
1.0,27,46,16,45,0.3478260869565217,2.8125,2
1.5,56,106,49,175,0.4622641509433962,3.571428571428572,2
2.0,65,135,51,186,0.37777777777777777,3.647058823529412,2
2.5,76,157,100,380,0.6369426751592356,3.8,3
3.0,86,173,104,392,0.6011560693641619,3.7692307692307687,3
3.5,103,216,109,414,0.5046296296296297,3.798165137614679,3
4.0,138,300,137,522,0.4566666666666666,3.81021897810219,3
4.5,119,255,168,648,0.6588235294117647,3.8571428571428568,3
5.0,146,302,184,711,0.6092715231788081,3.864130434782609,3
5.5,160,322,227,890,0.7049689440993789,3.920704845814978,2
6.0,185,348,225,873,0.646551724137931,3.88,3
0.5,17,32,13,34,0.40625,2.6153846153846154,2
1.0,25,44,21,66,0.4772727272727273,3.1428571428571432,0
1.5,53,110,65,239,0.5909090909090909,3.6769230769230767,2
2.0,67,123,39,136,0.3170731707317073,3.4871794871794872,2
2.5,72,158,76,283,0.4810126582278481,3.7236842105263164,3
3.0,105,211,138,528,0.6540284360189573,3.8260869565217392,3
3.5,109,222,145,555,0.6531531531531531,3.827586206896552,3
4.0,109,223,136,524,0.6098654708520179,3.852941176470588,3
4.5,127,253,163,628,0.6442687747035574,3.852760736196319,1
5.0,140,272,154,592,0.5661764705882353,3.8441558441558437,3
