rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,16,33,19,68,0.5757575757575758,3.5789473684210527,2
1.0,33,59,18,61,0.3050847457627119,3.388888888888889,2
1.5,45,93,33,135,0.3548387096774194,4.090909090909091,2
2.0,69,133,69,314,0.5187969924812029,4.550724637681159,2
2.5,84,161,90,415,0.5590062111801242,4.611111111111111,1
3.0,89,189,100,465,0.5291005291005291,4.65,3
3.5,93,202,77,343,0.3811881188118812,4.454545454545454,3
4.0,116,228,126,592,0.5526315789473685,4.6984126984126995,3
4.5,139,298,178,851,0.5973154362416108,4.780898876404494,3
5.0,151,305,113,517,0.3704918032786885,4.575221238938052,3
5.5,176,362,191,906,0.5276243093922652,4.743455497382199,3
6.0,172,355,171,809,0.4816901408450705,4.730994152046784,3
0.5,16,28,14,52,0.5,3.7142857142857135,0
1.0,26,46,24,96,0.5217391304347826,4.0,2
1.5,49,92,47,212,0.5108695652173914,4.51063829787234,2
2.0,51,109,60,269,0.5504587155963303,4.483333333333333,2
2.5,75,169,42,177,0.2485207100591716,4.214285714285714,2
3.0,99,200,85,388,0.425,4.564705882352942,3
3.5,110,210,110,511,0.5238095238095238,4.6454545454545455,3
4.0,106,179,94,434,0.5251396648044693,4.617021276595745,3
4.5,153,315,166,781,0.526984126984127,4.704819277108434,3
5.0,139,290,158,748,0.5448275862068965,4.734177215189874,3
5.5,159,317,184,872,0.580441640378549,4.739130434782608,3
6.0,199,387,239,1146,0.6175710594315246,4.794979079497908,3
0.5,19,46,14,43,0.3043478260869565,3.071428571428572,2
1.0,35,73,32,129,0.4383561643835616,4.03125,2
1.5,44,87,42,180,0.4827586206896552,4.285714285714286,2
2.0,65,128,58,256,0.453125,4.413793103448277,2
2.5,92,184,98,446,0.532608695652174,4.551020408163264,3
3.0,82,142,62,280,0.4366197183098591,4.516129032258065,1
3.5,91,192,96,441,0.5,4.59375,3
4.0,146,306,201,970,0.6568627450980392,4.825870646766169,2
