rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0.5,8,19,10,10,0.5263157894736842,1.0,0
0,18,46,21,29,0.4565217391304348,0.7241379310344828,2
1.5,34,90,42,140,0.4666666666666667,0.3,2
2.0,49,136,60,236,0.4411764705882353,0.2542372881355932,2
2.5,56,139,67,206,0.4820143884892086,0.325242718446602,2
3.0,47,127,58,205,0.4566929133858268,0.28292682926829266,2
0.5,11,30,15,51,0.5,0.29411764705882354,0
1.0,24,63,30,104,0.4761904761904762,0.28846153846153844,2
1.5,29,74,36,109,0.4864864864864865,0.3302752293577982,2
2.0,36,93,45,141,0.4838709677419355,0.3191489361702128,2
2.5,50,134,61,235,0.4552238805970149,0.2595744680851064,2
3.0,50,133,62,238,0.4661654135338346,0.2605042016806723,2
0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,0
1.0,15,41,18,22,0.4390243902439024,0.8181818181818182,0
1.5,23,62,30,108,0.4838709677419355,0.2777777777777778,0
2.0,39,104,49,171,0.4711538461538462,0.2865497076023392,2
2.5,55,150,68,267,0.4533333333333333,0.2546816479400749,2
3.0,69,188,85,333,0.4521276595744681,0.2552552552552553,2
0.5,12,33,18,58,0.5454545454545454,0.3103448275862069,0
1.0,24,62,29,67,0.4677419354838709,0.4328358208955224,2
1.5,20,54,25,65,0.462962962962963,0.38461538461538464,0
2.0,41,110,53,228,0.4818181818181818,0.2324561403508772,2
2.5,52,147,63,234,0.42857142857142855,0.2692307692307692,2
3.0,69,191,86,369,0.450261780104712,0.23306233062330625,2
0.5,10,27,14,28,0.5185185185185185,0.5,0
1.0,32,85,38,112,0.4470588235294118,0.3392857142857143,2
1.5,30,84,39,143,0.4642857142857143,0.2727272727272727,0
2.0,43,115,51,144,0.4434782608695652,0.3541666666666667,2
2.5,62,173,75,292,0.4335260115606937,0.2568493150684932,2
3.0,65,174,82,343,0.4712643678160919,0.23906705539358605,2
0.5,13,32,18,41,0.5625,0.4390243902439024,24
1.0,25,67,31,100,0.4626865671641791,0.31,2
1.5,37,98,44,118,0.4489795918367347,0.3728813559322034,2
2.0,40,110,49,161,0.44545454545454544,0.3043478260869565,2
2.5,51,139,63,230,0.4532374100719425,0.27391304347826084,2
3.0,56,142,67,225,0.471830985915493,0.2977777777777777,2
0.5,16,43,20,56,0.4651162790697674,0.35714285714285715,0
1.0,22,58,27,65,0.4655172413793103,0.4153846153846154,2
1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,2
2.0,48,127,56,164,0.4409448818897638,0.3414634146341464,2
2.5,46,125,55,189,0.44,0.291005291005291,2
3.0,58,156,74,312,0.4743589743589744,0.2371794871794872,2
0.5,18,49,23,63,0.4693877551020408,0.36507936507936506,0
1.0,17,48,23,92,0.4791666666666667,0.25,0
1.5,40,99,48,103,0.4848484848484849,0.4660194174757282,2
2.0,37,101,47,198,0.4653465346534654,0.23737373737373735,2
2.5,35,97,45,188,0.4639175257731959,0.2393617021276596,2
3.0,61,164,72,214,0.4390243902439024,0.3364485981308411,2
0.5,10,25,13,19,0.52,0.6842105263157895,0
1.0,20,48,24,31,0.5,0.7741935483870968,2
1.5,23,62,29,98,0.4677419354838709,0.2959183673469388,2
2.0,50,130,58,163,0.4461538461538462,0.3558282208588957,2
2.5,54,151,65,240,0.4304635761589404,0.2708333333333333,2
3.0,64,173,79,304,0.4566473988439306,0.2598684210526316,2
0.5,12,33,17,54,0.5151515151515151,0.3148148148148148,0
1.0,20,50,25,65,0.5,0.38461538461538464,2
1.5,26,69,32,99,0.463768115942029,0.3232323232323233,2
2.0,43,114,53,194,0.4649122807017544,0.27319587628865977,2
2.5,42,111,50,151,0.4504504504504505,0.3311258278145696,2
3.0,65,170,76,218,0.4470588235294118,0.3486238532110092,2
0.5,10,26,13,14,0.5,0.9285714285714286,0
1.0,27,76,35,144,0.4605263157894737,0.24305555555555555,0
1.5,36,98,42,116,0.42857142857142855,0.3620689655172414,2
2.0,46,119,56,199,0.4705882352941176,0.2814070351758794,2
2.5,41,114,49,151,0.4298245614035088,0.3245033112582781,2
3.0,54,144,64,211,0.4444444444444444,0.3033175355450237,2
0.5,10,27,13,20,0.4814814814814815,0.65,0
1.0,18,49,23,60,0.4693877551020408,0.38333333333333336,0
1.5,29,79,35,104,0.4430379746835443,0.3365384615384616,2
2.0,46,118,55,145,0.4661016949152542,0.3793103448275862,2
2.5,43,109,52,144,0.4770642201834863,0.3611111111111111,2
3.0,62,172,76,293,0.4418604651162791,0.2593856655290102,2
0.5,13,35,19,56,0.5428571428571428,0.3392857142857143,0
1.0,20,54,26,104,0.4814814814814815,0.25,0
1.5,27,71,33,106,0.4647887323943662,0.3113207547169811,2
2.0,33,87,41,119,0.4712643678160919,0.3445378151260504,2
2.5,50,134,62,237,0.4626865671641791,0.2616033755274262,2
3.0,50,137,60,203,0.4379562043795621,0.2955665024630542,2
0.5,9,26,14,59,0.5384615384615384,0.23728813559322035,0
1.0,12,32,16,30,0.5,0.5333333333333333,0
1.5,27,72,35,133,0.4861111111111111,0.2631578947368421,2
2.0,41,103,52,192,0.5048543689320388,0.2708333333333333,2
2.5,43,116,53,193,0.456896551724138,0.2746113989637305,2
3.0,52,137,62,202,0.4525547445255474,0.3069306930693069,2
0.5,12,31,15,18,0.4838709677419355,0.8333333333333334,0
1.0,22,60,28,95,0.4666666666666667,0.29473684210526313,0
1.5,39,103,50,170,0.4854368932038835,0.29411764705882354,2
2.0,42,110,50,151,0.4545454545454545,0.3311258278145696,2
2.5,46,118,57,195,0.4830508474576271,0.2923076923076923,2
3.0,59,156,73,299,0.467948717948718,0.24414715719063546,2
0.5,11,28,15,29,0.5357142857142857,0.5172413793103449,0
1.0,14,37,20,65,0.5405405405405406,0.3076923076923077,0
1.5,39,101,46,117,0.4554455445544554,0.3931623931623932,2
2.0,40,108,52,206,0.4814814814814815,0.2524271844660194,2
2.5,47,126,59,246,0.4682539682539682,0.2398373983739837,2
3.0,64,174,78,284,0.4482758620689655,0.2746478873239437,2
3.5,59,152,74,293,0.4868421052631579,0.2525597269624573,2
4.0,90,239,106,351,0.4435146443514644,0.301994301994302,2
