context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
0,0.5,16,33,19,70,5327,0.5757575757575758,3.6842105263157894,0
0,0.5,16,33,19,70,5327,0.5757575757575758,3.6842105263157894,1
0,0.5,16,33,19,68,5150,0.5757575757575758,3.5789473684210527,2
0,0.5,16,33,19,68,5150,0.5757575757575758,3.5789473684210527,3
1,1,33,59,26,100,8890,0.4406779661016949,3.8461538461538463,0
1,1,33,59,26,100,8890,0.4406779661016949,3.8461538461538463,1
1,1,33,59,18,61,10375,0.3050847457627119,3.388888888888889,2
1,1,33,59,18,61,10375,0.3050847457627119,3.388888888888889,3
2,1.5,45,93,42,182,31732,0.45161290322580644,4.333333333333333,0
2,1.5,45,93,42,182,31732,0.45161290322580644,4.333333333333333,1
2,1.5,45,93,33,135,28975,0.3548387096774194,4.090909090909091,2
2,1.5,45,93,33,135,28975,0.3548387096774194,4.090909090909091,3
3,2,69,133,70,321,44140,0.5263157894736842,4.585714285714285,0
3,2,69,133,70,321,44140,0.5263157894736842,4.585714285714285,1
3,2,69,133,69,314,43741,0.518796992481203,4.550724637681159,2
3,2,69,133,69,314,43741,0.518796992481203,4.550724637681159,3
4,2.5,84,161,89,414,53090,0.5527950310559007,4.651685393258427,0
4,2.5,84,161,90,415,53094,0.5590062111801242,4.611111111111111,1
4,2.5,84,161,117,555,55082,0.7267080745341615,4.743589743589744,2
4,2.5,84,161,117,555,55082,0.7267080745341615,4.743589743589744,3
5,3,89,189,101,481,58118,0.5343915343915344,4.762376237623762,0
5,3,89,189,102,482,58122,0.5396825396825397,4.7254901960784315,1
5,3,89,189,99,464,57468,0.5238095238095238,4.686868686868687,2
5,3,89,189,100,465,57472,0.5291005291005291,4.65,3
6,3.5,93,202,106,503,57827,0.5247524752475248,4.745283018867925,0
6,3.5,93,202,107,504,57831,0.5297029702970297,4.710280373831775,1
6,3.5,93,202,76,342,52943,0.37623762376237624,4.5,2
6,3.5,93,202,77,343,52947,0.3811881188118812,4.454545454545454,3
7,4,116,228,136,650,77038,0.5964912280701754,4.779411764705882,0
7,4,116,228,138,652,77045,0.6052631578947368,4.72463768115942,1
7,4,116,228,124,590,73785,0.543859649122807,4.758064516129032,2
7,4,116,228,126,592,73792,0.5526315789473685,4.698412698412699,3
8,4.5,139,298,179,864,72786,0.6006711409395973,4.826815642458101,0
8,4.5,139,298,180,865,72790,0.6040268456375839,4.805555555555555,1
8,4.5,139,298,177,850,76096,0.5939597315436241,4.80225988700565,2
8,4.5,139,298,178,851,76100,0.5973154362416108,4.780898876404494,3
9,5,151,305,154,740,81045,0.5049180327868853,4.805194805194805,0
9,5,151,305,156,742,81053,0.5114754098360655,4.756410256410256,1
9,5,151,305,111,515,75648,0.3639344262295082,4.63963963963964,2
9,5,151,305,113,517,75656,0.3704918032786885,4.575221238938053,3
10,5.5,176,362,214,1041,133660,0.5911602209944752,4.864485981308412,0
10,5.5,176,362,217,1044,133672,0.5994475138121547,4.811059907834101,1
10,5.5,176,362,189,904,125112,0.5220994475138122,4.783068783068783,2
10,5.5,176,362,191,906,125120,0.5276243093922652,4.7434554973821985,3
11,6,172,355,175,842,96291,0.49295774647887325,4.811428571428571,0
11,6,172,355,177,844,96299,0.49859154929577465,4.768361581920904,1
11,6,172,355,169,807,96712,0.476056338028169,4.775147928994083,2
11,6,172,355,171,809,96720,0.48169014084507045,4.730994152046784,3
12,0.5,16,28,14,52,2492,0.5,3.7142857142857144,0
12,0.5,16,28,14,52,2492,0.5,3.7142857142857144,1
12,0.5,16,28,14,52,2492,0.5,3.7142857142857144,2
12,0.5,16,28,14,52,2492,0.5,3.7142857142857144,3
13,1,26,46,27,114,15645,0.5869565217391305,4.222222222222222,0
