context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
0,0.5,24,66,35,153,18622,0.5303030303030303,4.371428571428571,0
0,0.5,24,66,35,153,18622,0.5303030303030303,4.371428571428571,1
0,0.5,24,66,19,64,16358,0.2878787878787879,3.3684210526315788,2
0,0.5,24,66,19,64,16358,0.2878787878787879,3.3684210526315788,3
1,1,63,162,92,438,84060,0.5679012345679012,4.760869565217392,0
1,1,63,162,94,440,84067,0.5802469135802469,4.680851063829787,1
1,1,63,162,84,393,80543,0.5185185185185185,4.678571428571429,2
1,1,63,162,86,395,80550,0.5308641975308642,4.593023255813954,3
2,1.5,107,278,159,772,115455,0.5719424460431655,4.855345911949685,0
2,1.5,107,278,161,774,115462,0.579136690647482,4.807453416149069,1
2,1.5,107,278,78,351,104236,0.2805755395683453,4.5,2
2,1.5,107,278,79,352,104240,0.2841726618705036,4.455696202531645,3
3,2,122,331,188,910,120505,0.56797583081571,4.840425531914893,0
3,2,122,331,190,912,120512,0.5740181268882175,4.8,1
3,2,122,331,133,625,109709,0.40181268882175225,4.6992481203007515,2
3,2,122,331,135,627,109716,0.4078549848942598,4.644444444444445,3
4,2.5,147,391,242,1185,175568,0.618925831202046,4.896694214876033,0
4,2.5,147,391,246,1189,175581,0.629156010230179,4.833333333333333,1
4,2.5,147,391,209,1003,169359,0.5345268542199488,4.7990430622009566,2
4,2.5,147,391,212,1006,169368,0.5421994884910486,4.745283018867925,3
5,3,189,498,281,1373,215789,0.5642570281124498,4.8861209964412815,0
5,3,189,498,286,1378,215807,0.5742971887550201,4.818181818181818,1
5,3,189,498,244,1180,216803,0.4899598393574297,4.836065573770492,2
5,3,189,498,248,1184,216817,0.4979919678714859,4.774193548387097,3
6,3.5,224,597,343,1676,241075,0.5745393634840871,4.886297376093294,0
6,3.5,224,597,348,1681,241092,0.5829145728643216,4.830459770114943,1
6,3.5,224,597,320,1543,240255,0.5360134003350083,4.821875,2
6,3.5,224,597,323,1546,240264,0.541038525963149,4.786377708978328,3
7,4,224,607,341,1669,208762,0.5617792421746294,4.894428152492669,0
7,4,224,607,346,1674,208781,0.5700164744645799,4.838150289017341,1
7,4,224,607,337,1636,222617,0.5551894563426688,4.85459940652819,2
7,4,224,607,341,1640,222632,0.5617792421746294,4.809384164222874,3
8,4.5,224,591,319,1554,263763,0.5397631133671743,4.871473354231975,0
8,4.5,224,591,325,1560,263784,0.5499153976311336,4.8,1
8,4.5,224,591,308,1489,267074,0.5211505922165821,4.834415584415584,2
8,4.5,224,591,312,1493,267088,0.5279187817258884,4.785256410256411,3
9,5,306,802,476,2340,374736,0.5935162094763092,4.915966386554622,0
9,5,306,802,485,2348,374769,0.6047381546134664,4.8412371134020615,1
9,5,306,802,416,2017,367134,0.5187032418952618,4.8485576923076925,2
9,5,306,802,422,2023,367155,0.5261845386533666,4.793838862559242,3
10,5.5,338,888,508,2498,406047,0.5720720720720721,4.917322834645669,0
10,5.5,338,888,518,2507,406082,0.5833333333333334,4.83976833976834,1
