context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,0.5,8,19,10,10,0.5263157894736842,1.0,0
0,0.5,8,19,10,10,0.5263157894736842,1.0,1
0,0.5,8,19,10,10,0.5263157894736842,1.0,2
0,0.5,8,19,10,10,0.5263157894736842,1.0,3
0,0.5,8,19,10,10,0.5263157894736842,1.0,4
0,0.5,8,19,10,10,0.5263157894736842,1.0,5
0,0.5,8,19,10,10,0.5263157894736842,1.0,6
0,0.5,8,19,10,10,0.5263157894736842,1.0,7
0,0.5,8,19,10,10,0.5263157894736842,1.0,8
0,0.5,8,19,10,10,0.5263157894736842,1.0,9
0,0.5,8,19,10,10,0.5263157894736842,1.0,10
0,0.5,8,19,10,10,0.5263157894736842,1.0,11
0,0.5,8,19,10,10,0.5263157894736842,1.0,12
0,0.5,8,19,10,10,0.5263157894736842,1.0,13
0,0.5,8,19,10,10,0.5263157894736842,1.0,14
0,0.5,8,19,10,10,0.5263157894736842,1.0,15
0,0.5,8,19,10,10,0.5263157894736842,1.0,16
0,0.5,8,19,10,10,0.5263157894736842,1.0,17
0,0.5,8,19,10,10,0.5263157894736842,1.0,18
0,0.5,8,19,10,10,0.5263157894736842,1.0,19
0,0.5,8,19,10,10,0.5263157894736842,1.0,20
0,0.5,8,19,10,10,0.5263157894736842,1.0,21
0,0.5,8,19,10,10,0.5263157894736842,1.0,22
0,0.5,8,19,10,10,0.5263157894736842,1.0,23
0,0.5,8,19,10,10,0.5263157894736842,1.0,24
0,0.5,8,19,10,10,0.5263157894736842,1.0,25
0,0.5,8,19,10,10,0.5263157894736842,1.0,26
0,0.5,8,19,10,10,0.5263157894736842,1.0,27
1,1,18,46,21,30,0.45652173913043476,0.7,0
1,1,18,46,21,30,0.45652173913043476,0.7,1
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,2
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,3
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,4
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,5
1,1,18,46,21,30,0.45652173913043476,0.7,6
1,1,18,46,21,30,0.45652173913043476,0.7,7
1,1,18,46,21,30,0.45652173913043476,0.7,8
1,1,18,46,22,36,0.4782608695652174,0.6111111111111112,9
1,1,18,46,21,30,0.45652173913043476,0.7,10
1,1,18,46,21,30,0.45652173913043476,0.7,11
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,12
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,13
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,14
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,15
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,16
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,17
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,18
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,19
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,20
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,21
1,1,18,46,21,29,0.45652173913043476,0.7241379310344828,22
1,1,18,46,21,30,0.45652173913043476,0.7,23
1,1,18,46,22,35,0.4782608695652174,0.6285714285714286,24
1,1,18,46,22,35,0.4782608695652174,0.6285714285714286,25
1,1,18,46,22,36,0.4782608695652174,0.6111111111111112,26
1,1,18,46,22,36,0.4782608695652174,0.6111111111111112,27
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,0
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,1
2,1.5,34,90,42,140,0.4666666666666667,0.3,2
2,1.5,34,90,42,140,0.4666666666666667,0.3,3
2,1.5,34,90,42,140,0.4666666666666667,0.3,4
2,1.5,34,90,43,141,0.4777777777777778,0.3049645390070922,5
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,6
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,7
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,8
2,1.5,34,90,49,139,0.5444444444444444,0.35251798561151076,9
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,10
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,11
2,1.5,34,90,42,140,0.4666666666666667,0.3,12
2,1.5,34,90,42,140,0.4666666666666667,0.3,13
2,1.5,34,90,42,140,0.4666666666666667,0.3,14
2,1.5,34,90,42,140,0.4666666666666667,0.3,15
2,1.5,34,90,42,140,0.4666666666666667,0.3,16
2,1.5,34,90,43,141,0.4777777777777778,0.3049645390070922,17
2,1.5,34,90,43,141,0.4777777777777778,0.3049645390070922,18
2,1.5,34,90,42,140,0.4666666666666667,0.3,19
2,1.5,34,90,43,141,0.4777777777777778,0.3049645390070922,20
2,1.5,34,90,42,140,0.4666666666666667,0.3,21
2,1.5,34,90,43,141,0.4777777777777778,0.3049645390070922,22
2,1.5,34,90,42,142,0.4666666666666667,0.29577464788732394,23
2,1.5,34,90,49,135,0.5444444444444444,0.362962962962963,24
