context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,n_ticks,alpha,beta,bin_conf
0,0.5,7,16,10,31,1187,0.625,3.1,0
0,0.5,7,16,10,31,1187,0.625,3.1,1
0,0.5,7,16,10,31,1187,0.625,3.1,2
0,0.5,7,16,10,31,1187,0.625,3.1,3
1,1,30,65,32,134,15750,0.49230769230769234,4.1875,0
1,1,30,65,32,134,15750,0.49230769230769234,4.1875,1
1,1,30,65,33,139,17926,0.5076923076923077,4.212121212121212,2
1,1,30,65,33,139,17926,0.5076923076923077,4.212121212121212,3
2,1.5,44,102,64,294,27733,0.6274509803921569,4.59375,0
2,1.5,44,102,64,294,27733,0.6274509803921569,4.59375,1
2,1.5,44,102,41,173,23101,0.4019607843137255,4.219512195121951,2
2,1.5,44,102,41,173,23101,0.4019607843137255,4.219512195121951,3
3,2,60,134,64,292,31475,0.47761194029850745,4.5625,0
3,2,60,134,64,292,31475,0.47761194029850745,4.5625,1
3,2,60,134,64,289,30800,0.47761194029850745,4.515625,2
3,2,60,134,64,289,30800,0.47761194029850745,4.515625,3
4,2.5,84,171,109,513,40649,0.6374269005847953,4.706422018348624,0
4,2.5,84,171,109,513,40649,0.6374269005847953,4.706422018348624,1
4,2.5,84,171,82,372,36462,0.47953216374269003,4.536585365853658,2
4,2.5,84,171,82,372,36462,0.47953216374269003,4.536585365853658,3
5,3,91,175,90,420,46932,0.5142857142857142,4.666666666666667,0
5,3,91,175,91,421,46936,0.52,4.626373626373627,1
5,3,91,175,84,390,50001,0.48,4.642857142857143,2
5,3,91,175,85,391,50005,0.4857142857142857,4.6,3
6,3.5,106,197,125,600,50542,0.6345177664974619,4.8,0
6,3.5,106,197,126,601,50546,0.6395939086294417,4.76984126984127,1
6,3.5,106,197,119,565,50897,0.6040609137055838,4.7478991596638656,2
6,3.5,106,197,120,566,50901,0.6091370558375635,4.716666666666667,3
7,4,119,235,134,640,82730,0.5702127659574469,4.776119402985074,0
7,4,119,235,136,642,82738,0.5787234042553191,4.720588235294118,1
7,4,119,235,102,476,78475,0.4340425531914894,4.666666666666667,2
7,4,119,235,104,478,78483,0.4425531914893617,4.596153846153846,3
8,4.5,121,258,139,664,82101,0.5387596899224806,4.776978417266187,0
8,4.5,121,258,141,666,82109,0.5465116279069767,4.723404255319149,1
8,4.5,121,258,79,362,75555,0.3062015503875969,4.582278481012659,2
8,4.5,121,258,81,364,75563,0.313953488372093,4.493827160493828,3
9,5,160,289,144,682,92868,0.4982698961937716,4.736111111111111,0
9,5,160,289,146,684,92876,0.5051903114186851,4.684931506849315,1
9,5,160,289,168,812,98966,0.5813148788927336,4.833333333333333,2
9,5,160,289,170,814,98974,0.5882352941176471,4.788235294117647,3
10,5.5,142,293,152,729,78508,0.5187713310580204,4.796052631578948,0
10,5.5,142,293,153,730,78511,0.5221843003412969,4.771241830065359,1
10,5.5,142,293,123,578,77550,0.4197952218430034,4.699186991869919,2
10,5.5,142,293,124,579,77553,0.4232081911262799,4.669354838709677,3
11,6,183,366,231,1129,146258,0.6311475409836066,4.887445887445887,0
11,6,183,366,234,1132,146270,0.639344262295082,4.837606837606837,1
11,6,183,366,223,1075,145858,0.6092896174863388,4.820627802690583,2
11,6,183,366,225,1077,145865,0.6147540983606558,4.786666666666667,3
12,0.5,12,27,10,26,3258,0.37037037037037035,2.6,0
12,0.5,12,27,10,26,3258,0.37037037037037035,2.6,1
12,0.5,12,27,10,23,1489,0.37037037037037035,2.3,2
12,0.5,12,27,10,23,1489,0.37037037037037035,2.3,3
13,1,36,72,32,139,17356,0.4444444444444444,4.34375,0
13,1,36,72,32,139,17356,0.4444444444444444,4.34375,1
13,1,36,72,34,143,18387,0.4722222222222222,4.205882352941177,2
13,1,36,72,34,143,18387,0.4722222222222222,4.205882352941177,3
14,1.5,45,85,39,169,24786,0.4588235294117647,4.333333333333333,0
14,1.5,45,85,39,169,24786,0.4588235294117647,4.333333333333333,1
14,1.5,45,85,26,100,22840,0.3058823529411765,3.8461538461538463,2
14,1.5,45,85,26,100,22840,0.3058823529411765,3.8461538461538463,3
15,2,60,120,72,334,31229,0.6,4.638888888888889,0
15,2,60,120,72,334,31229,0.6,4.638888888888889,1
15,2,60,120,65,295,28591,0.5416666666666666,4.538461538461538,2
15,2,60,120,65,295,28591,0.5416666666666666,4.538461538461538,3
16,2.5,73,162,76,350,42762,0.4691358024691358,4.605263157894737,0
16,2.5,73,162,77,351,42766,0.47530864197530864,4.558441558441558,1
16,2.5,73,162,79,362,44592,0.4876543209876543,4.582278481012659,2
16,2.5,73,162,80,363,44596,0.49382716049382713,4.5375,3
17,3,98,209,124,587,66628,0.5933014354066986,4.733870967741935,0
17,3,98,209,125,588,66632,0.5980861244019139,4.704,1
17,3,98,209,106,495,64885,0.507177033492823,4.669811320754717,2
17,3,98,209,107,496,64889,0.5119617224880383,4.635514018691588,3
18,3.5,101,188,99,466,56688,0.526595744680851,4.707070707070707,0
18,3.5,101,188,100,467,56691,0.5319148936170213,4.67,1
18,3.5,101,188,97,454,56843,0.5159574468085106,4.680412371134021,2
18,3.5,101,188,98,455,56846,0.5212765957446809,4.642857142857143,3
19,4,111,216,112,533,52810,0.5185185185185185,4.758928571428571,0
19,4,111,216,113,534,52813,0.5231481481481481,4.725663716814159,1
19,4,111,216,77,349,48152,0.35648148148148145,4.532467532467533,2
19,4,111,216,78,350,48155,0.3611111111111111,4.487179487179487,3
20,4.5,126,232,140,674,73702,0.603448275862069,4.814285714285714,0
20,4.5,126,232,141,675,73706,0.6077586206896551,4.787234042553192,1
20,4.5,126,232,101,468,66823,0.4353448275862069,4.633663366336633,2
20,4.5,126,232,102,469,66827,0.4396551724137931,4.598039215686274,3
