context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[1. 1. 1.],3564,1200,1163,1201,3.364477335800185,1.1840888066604995,0.9602220166512488,1.2201665124884367,8.873265494912118,6.601295097132285,8.75300647548566,0.0018522152348856018,0.0024559501895302076,0
0,[1. 1. 1.],3564,1200,1163,1201,3.3635522664199815,1.1840888066604995,0.9602220166512488,1.219241443108233,8.871415356151712,7.74468085106383,9.149861239592969,0.0021730305418248682,0.002567301133443594,1
0,[1. 1. 1.],3564,1200,1163,1201,3.3432007400555044,1.1840888066604995,0.9602220166512488,1.198889916743756,8.830712303422757,7.686401480111009,8.646623496762258,0.0021566783053061193,0.0024261008689007457,2
0,[1. 1. 1.],3564,1200,1163,1201,3.3432007400555044,1.1840888066604995,0.9602220166512488,1.198889916743756,8.830712303422757,8.830712303422757,9.790934320074006,0.0024777531715552067,0.0027471757351498335,3
1,[1. 1. 2.],4676,1203,1141,2332,4.823475046210721,1.188539741219963,1.1478743068391868,2.4870609981515712,11.98336414048059,9.23475046210721,14.702402957486136,0.0019749252485259214,0.0031442264665282583,0
1,[1. 1. 2.],4676,1203,1141,2332,4.854898336414048,1.188539741219963,1.1210720887245842,2.545286506469501,12.019408502772643,10.206099815157117,14.373382624768947,0.0021826560768086222,0.0030738628367769348,1
1,[1. 1. 2.],4676,1203,1141,2332,4.459334565619224,1.188539741219963,0.9510166358595195,2.319778188539741,11.05822550831793,9.918669131238447,10.869685767097966,0.002121186726098898,0.0023245692401834828,2
1,[1. 1. 2.],4676,1203,1141,2332,4.459334565619224,1.188539741219963,0.9510166358595195,2.319778188539741,11.05822550831793,11.05822550831793,12.009242144177449,0.002364889971838736,0.002568272485923321,3
2,[1. 1. 3.],6060,1203,1182,3675,5.823475046210721,1.179297597042514,0.9658040665434381,3.678373382624769,13.792051756007394,9.995378927911275,13.963955637707949,0.0016494024633516957,0.002304283108532665,0
2,[1. 1. 3.],6060,1203,1182,3675,5.812384473197782,1.179297597042514,0.9648798521256932,3.668207024029575,13.768946395563772,11.100739371534196,15.015711645101664,0.0018318051768208244,0.002477840205462321,1
2,[1. 1. 3.],6060,1203,1182,3675,5.815157116451017,1.179297597042514,0.967652495378928,3.668207024029575,13.777264325323475,12.630314232902034,13.59796672828096,0.002084210269455781,0.002243888899056264,2
2,[1. 1. 3.],6060,1203,1182,3675,5.815157116451017,1.179297597042514,0.967652495378928,3.668207024029575,13.777264325323475,13.777264325323475,14.744916820702404,0.002273475961274501,0.0024331545908749842,3
3,[1. 1. 4.],7211,1243,1223,4745,6.968547641073081,1.2349676225716928,0.9685476410730804,4.765032377428307,16.140610545790935,11.18686401480111,17.631822386679,0.001551360978338803,0.002445128607222161,0
3,[1. 1. 4.],7211,1243,1223,4745,6.972247918593895,1.2349676225716928,0.9685476410730804,4.768732654949122,16.148011100832562,12.394079555966698,18.311748381128584,0.0017187740335552208,0.0025394187187808325,1
3,[1. 1. 4.],7211,1243,1223,4745,6.874190564292322,1.2349676225716928,0.9574468085106383,4.681776133209991,15.940795559666975,14.748381128584644,15.70767807585569,0.002045261562693752,0.0021782940058044224,2
3,[1. 1. 4.],7211,1243,1223,4745,6.874190564292322,1.2349676225716928,0.9574468085106383,4.681776133209991,15.940795559666975,15.940795559666975,16.898242368177613,0.00221062204405311,0.0023433979154316477,3
4,[1. 1. 5.],8446,1167,1173,6106,8.750692520775623,1.1440443213296398,1.1698984302862419,6.436749769159741,19.81532779316713,13.858725761772853,25.871652816251153,0.0016408626286730822,0.0030631840890659665,0
4,[1. 1. 5.],8446,1167,1173,6106,8.77562326869806,1.1440443213296398,1.267774699907664,6.363804247460757,19.963065558633424,14.960295475530932,24.90489381348107,0.0017712876480619148,0.0029487205557046023,1
4,[1. 1. 5.],8446,1167,1173,6106,8.20129270544783,1.1440443213296398,0.9584487534626038,6.098799630655586,18.505078485687903,17.40258541089566,18.361034164358266,0.0020604529257513215,0.0021739325318918144,2
