context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,6,6,0.0027958993476234857,0.0027958993476234857,0
0,[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,7,7,0.0032618825722274,0.0032618825722274,1
0,[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,7,7,0.0032618825722274,0.0032618825722274,2
0,[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,8,8,0.003727865796831314,0.003727865796831314,3
1,[0.59 0.59 2.24],3982,666,698,2618,4,1,2,1,11,7,10,0.0017579105976896032,0.0025113008538422904,0
1,[0.59 0.59 2.24],3982,666,698,2618,4,1,2,1,11,9,12,0.0022601707684580612,0.0030135610246107484,1
1,[0.59 0.59 2.24],3982,666,698,2618,4,1,1,2,10,9,10,0.0022601707684580612,0.0025113008538422904,2
1,[0.59 0.59 2.24],3982,666,698,2618,4,1,1,2,10,10,11,0.0025113008538422904,0.0027624309392265192,3
2,[0.59 0.59 4.  ],6196,694,690,4812,5,1,2,2,13,9,18,0.0014525500322788896,0.002905100064557779,0
2,[0.59 0.59 4.  ],6196,694,690,4812,5,1,2,2,13,11,18,0.0017753389283408651,0.002905100064557779,1
2,[0.59 0.59 4.  ],6196,694,690,4812,5,1,1,3,12,11,13,0.0017753389283408651,0.0020981278244028407,2
2,[0.59 0.59 4.  ],6196,694,690,4812,5,1,1,3,12,12,14,0.001936733376371853,0.0022595222724338285,3
3,[0.59 0.59 6.79],9532,673,676,8183,7,2,2,3,18,13,37,0.0013638271086865296,0.0038816617708770456,0
3,[0.59 0.59 6.79],9532,673,676,8183,6,1,2,3,15,13,33,0.0013638271086865296,0.0034620226605119597,1
3,[0.59 0.59 6.79],9532,673,676,8183,4,1,0,3,9,9,11,0.0009441879983214436,0.0011540075535039866,2
