context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,0
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,1
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,2
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,3
0,0.5,8,21,13,24,0.6190476190476191,0.5416666666666666,4
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,5
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,6
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,7
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,8
0,0.5,8,21,13,35,0.6190476190476191,0.37142857142857144,9
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,10
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,11
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,12
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,13
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,14
0,0.5,8,21,13,24,0.6190476190476191,0.5416666666666666,15
0,0.5,8,21,13,24,0.6190476190476191,0.5416666666666666,16
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,17
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,18
0,0.5,8,21,13,24,0.6190476190476191,0.5416666666666666,19
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,20
0,0.5,8,21,13,24,0.6190476190476191,0.5416666666666666,21
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,22
0,0.5,8,21,12,23,0.5714285714285714,0.5217391304347826,23
0,0.5,8,21,14,36,0.6666666666666666,0.3888888888888889,24
0,0.5,8,21,13,35,0.6190476190476191,0.37142857142857144,25
0,0.5,8,21,13,35,0.6190476190476191,0.37142857142857144,26
0,0.5,8,21,13,35,0.6190476190476191,0.37142857142857144,27
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,0
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,1
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,2
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,3
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,4
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,5
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,6
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,7
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,8
1,1,15,41,22,29,0.5365853658536586,0.7586206896551724,9
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,10
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,11
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,12
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,13
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,14
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,15
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,16
1,1,15,41,18,22,0.43902439024390244,0.8181818181818182,17
