context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2233,743,767,723,2.879039704524469,0.9815327793167128,0.9289012003693444,0.9686057248384118,7.668513388734995,5.859649122807017,6.22899353647276,0.002624115146801172,0.002789517929454886,0
0,[0.59 0.59 0.59],2233,743,767,723,2.879039704524469,0.9815327793167128,0.9289012003693444,0.9686057248384118,7.668513388734995,6.770083102493075,7.076638965835642,0.0030318330060425773,0.0031691173156451597,1
0,[0.59 0.59 0.59],2233,743,767,723,2.879039704524469,0.9815327793167128,0.9289012003693444,0.9686057248384118,7.668513388734995,6.758079409048938,7.686980609418282,0.0030264574156063317,0.003442445413980422,2
0,[0.59 0.59 0.59],2233,743,767,723,2.879039704524469,0.9815327793167128,0.9289012003693444,0.9686057248384118,7.668513388734995,7.668513388734995,8.59741458910434,0.0034341752748477364,0.003850163273221827,3
1,[0.59 0.59 1.5 ],3223,718,745,1760,3.6839186691312387,0.9842883548983364,0.9565619223659889,1.7430683918669132,9.308687615526802,7.000924214417745,10.445471349353049,0.0021721762998503707,0.0032409157149714705,0
1,[0.59 0.59 1.5 ],3223,718,745,1760,3.6848428835489835,0.9842883548983364,0.9565619223659889,1.743992606284658,9.310536044362292,7.863216266173752,10.407578558225508,0.0024397195985646145,0.0032291587211372968,1
1,[0.59 0.59 1.5 ],3223,718,745,1760,3.668207024029575,0.9842883548983364,0.9353049907578558,1.7486136783733826,9.256007393715342,8.333641404805915,9.268946395563772,0.002585678375676672,0.0028758753942177387,2
1,[0.59 0.59 1.5 ],3223,718,745,1760,3.668207024029575,0.9842883548983364,0.9353049907578558,1.7486136783733826,9.256007393715342,9.256007393715342,10.191312384473198,0.0028718608109572887,0.003162057829498355,3
2,[0.59 0.59 2.24],4114,648,699,2767,4.89196675900277,0.9889196675900277,1.1458910433979685,2.7571560480147737,11.918744228993537,9.227146814404431,15.834718374884579,0.002242865049685083,0.0038489835621984877,0
2,[0.59 0.59 2.24],4114,648,699,2767,4.903970452446907,0.9889196675900277,1.159741458910434,2.755309325946445,11.956602031394276,9.963065558633426,14.6398891966759,0.0024217466112380717,0.003558553523742319,1
2,[0.59 0.59 2.24],4114,648,699,2767,4.69067405355494,0.9889196675900277,0.9519852262234534,2.749769159741459,11.32225300092336,10.38134810710988,11.333333333333334,0.0025234195690592804,0.0027548209366391185,2
2,[0.59 0.59 2.24],4114,648,699,2767,4.69067405355494,0.9889196675900277,0.9519852262234534,2.749769159741459,11.32225300092336,11.32225300092336,12.274238227146814,0.0027521276132531263,0.002983528980832964,3
3,[0.59 0.59 6.79],9625,694,712,8219,10.163434903047092,0.9833795013850416,0.9529085872576177,8.227146814404431,22.263157894736842,15.12096029547553,25.41735918744229,0.0015710088618675875,0.002640764590903095,0
3,[0.59 0.59 6.79],9625,694,712,8219,10.162511542012927,0.9833795013850416,0.9399815327793167,8.239150507848569,22.248384118190213,16.009233610341642,26.26869806094183,0.0016632969984770537,0.0027292153829549955,1
3,[0.59 0.59 6.79],9625,694,712,8219,10.152354570637119,0.9833795013850416,0.9316712834718375,8.23730378578024,22.21975992613112,21.304709141274238,22.236380424746077,0.0022134762744181026,0.0023102732908827093,2
3,[0.59 0.59 6.79],9625,694,712,8219,10.152354570637119,0.9833795013850416,0.9316712834718375,8.23730378578024,22.21975992613112,22.21975992613112,23.151431209602954,0.0023085464858318043,0.002405343502296411,3
