context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.177 0.177],1102,687,206,209,2.7426246185147507,0.9888097660223805,0.8474059003051883,0.9064089521871821,7.32146490335707,5.704984740590031,5.78942014242116,0.005176937151170627,0.005253557298022831,0
0,[0.59  0.177 0.177],1102,687,206,209,2.7426246185147507,0.9888097660223805,0.8474059003051883,0.9064089521871821,7.32146490335707,6.54323499491353,6.6276703967446595,0.005937599813896126,0.00601421996074833,1
0,[0.59  0.177 0.177],1102,687,206,209,2.7426246185147507,0.9888097660223805,0.8474059003051883,0.9064089521871821,7.32146490335707,6.483214649033571,7.330620549338759,0.0058831348902301005,0.0066521057616504165,2
0,[0.59  0.177 0.177],1102,687,206,209,2.7426246185147507,0.9888097660223805,0.8474059003051883,0.9064089521871821,7.32146490335707,7.32146490335707,8.168870803662259,0.006643797552955599,0.007412768424375916,3
1,[0.59  0.177 0.672],1777,669,230,878,2.818350324374421,0.9860982391102873,0.8619091751621872,0.9703429101019463,7.484708063021316,5.797034291010195,6.030583873957368,0.003262259027017555,0.003393688167674377,0
1,[0.59  0.177 0.672],1777,669,230,878,2.818350324374421,0.9860982391102873,0.8619091751621872,0.9703429101019463,7.484708063021316,6.646895273401298,6.880444856348471,0.0037405150666298807,0.003871944207286703,1
1,[0.59  0.177 0.672],1777,669,230,878,2.818350324374421,0.9860982391102873,0.8619091751621872,0.9703429101019463,7.484708063021316,6.634847080630213,7.4967562557924,0.003733734991913457,0.004218771106242206,2
1,[0.59  0.177 0.672],1777,669,230,878,2.818350324374421,0.9860982391102873,0.8619091751621872,0.9703429101019463,7.484708063021316,7.484708063021316,8.346617238183503,0.004211991031525783,0.004697027145854532,3
2,[0.59  0.177 1.2  ],2353,719,222,1412,3.2365988909426986,0.9805914972273567,0.8484288354898336,1.4075785582255083,8.302218114602589,6.217190388170056,7.794824399260628,0.002642239858975799,0.0033127175517469734,0
2,[0.59  0.177 1.2  ],2353,719,222,1412,3.2365988909426986,0.9805914972273567,0.8484288354898336,1.4075785582255083,8.302218114602589,7.046210720887246,8.409426987060998,0.0029945646922597733,0.003573917121572885,1
2,[0.59  0.177 1.2  ],2353,719,222,1412,3.2365988909426986,0.9805914972273567,0.8484288354898336,1.4075785582255083,8.302218114602589,7.473197781885397,8.32162661737523,0.0031760296565598797,0.00353660289731204,2
2,[0.59  0.177 1.2  ],2353,719,222,1412,3.2365988909426986,0.9805914972273567,0.8484288354898336,1.4075785582255083,8.302218114602589,8.302218114602589,9.15064695009242,0.003528354489843854,0.0038889277305960137,3
3,[0.59  0.672 0.177],1771,740,812,219,2.789473684210526,0.9861495844875346,0.948291782086796,0.8550323176361958,7.513388734995384,5.76915974145891,5.863342566943675,0.003257571847238233,0.0033107524375740687,0
3,[0.59  0.672 0.177],1771,740,812,219,2.789473684210526,0.9861495844875346,0.948291782086796,0.8550323176361958,7.513388734995384,6.7045244690674055,6.79870729455217,0.0037857281022402062,0.0038389086925760415,1
3,[0.59  0.672 0.177],1771,740,812,219,2.789473684210526,0.9861495844875346,0.948291782086796,0.8550323176361958,7.513388734995384,6.5780240073868885,7.526315789473684,0.003714299270122467,0.004249754821837201,2
3,[0.59  0.672 0.177],1771,740,812,219,2.789473684210526,0.9861495844875346,0.948291782086796,0.8550323176361958,7.513388734995384,7.513388734995384,8.46168051708218,0.0042424555251244405,0.004777911076839175,3
4,[0.59  0.672 0.672],2399,710,852,837,2.888170055452865,0.977818853974122,0.9306839186691312,0.9796672828096118,7.684842883548983,5.864140480591497,6.616451016635859,0.0024444103712344717,0.002758003758497649,0
4,[0.59  0.672 0.672],2399,710,852,837,2.888170055452865,0.977818853974122,0.9306839186691312,0.9796672828096118,7.684842883548983,6.77264325323475,7.251386321626617,0.0028231109850916005,0.003022670413349986,1
4,[0.59  0.672 0.672],2399,710,852,837,2.888170055452865,0.977818853974122,0.9306839186691312,0.9796672828096118,7.684842883548983,6.77634011090573,7.707024029574861,0.0028246519845376117,0.0032125985950708052,2
4,[0.59  0.672 0.672],2399,710,852,837,2.888170055452865,0.977818853974122,0.9306839186691312,0.9796672828096118,7.684842883548983,7.684842883548983,8.615526802218115,0.003203352598394741,0.0035912992089279345,3
5,[0.59  0.672 1.2  ],3036,729,807,1500,3.450508788159112,0.9805735430157262,0.9500462534690102,1.5198889916743756,8.83163737280296,6.5134135060129505,9.799259944495837,0.002145393117922579,0.0032276877287535696,0
5,[0.59  0.672 1.2  ],3036,729,807,1500,3.4514338575393153,0.9805735430157262,0.9500462534690102,1.520814061054579,8.833487511563368,7.450508788159112,9.665124884366328,0.0024540542780497735,0.0031835062201470117,1
5,[0.59  0.672 1.2  ],3036,729,807,1500,3.448658649398705,0.9805735430157262,0.9472710453283997,1.520814061054579,8.825161887141535,7.89731729879741,8.844588344125809,0.0026012244067185144,0.0029132372674986196,2
5,[0.59  0.672 1.2  ],3036,729,807,1500,3.448658649398705,0.9805735430157262,0.9472710453283997,1.520814061054579,8.825161887141535,8.825161887141535,9.772432932469934,0.0029068385662521525,0.0032188514270322576,3
6,[0.59  1.2   0.177],2311,700,1401,210,2.835641735918744,0.9750692520775623,0.9575253924284395,0.9030470914127424,7.60387811634349,5.808864265927978,6.048938134810711,0.0025135717290904274,0.002617454839814241,0
6,[0.59  1.2   0.177],2311,700,1401,210,2.835641735918744,0.9750692520775623,0.9575253924284395,0.9030470914127424,7.60387811634349,6.7414589104339795,6.923361034164358,0.002917117659209857,0.002995829093104439,1
6,[0.59  1.2   0.177],2311,700,1401,210,2.835641735918744,0.9750692520775623,0.9575253924284395,0.9030470914127424,7.60387811634349,6.671283471837488,7.628808864265928,0.0028867518268444344,0.0033010856184621067,2
6,[0.59  1.2   0.177],2311,700,1401,210,2.835641735918744,0.9750692520775623,0.9575253924284395,0.9030470914127424,7.60387811634349,7.60387811634349,8.56140350877193,0.003290297756963864,0.003704631548581536,3
7,[0.59  1.2   0.672],2904,702,1429,773,2.9195933456561924,0.9824399260628466,0.9648798521256932,0.9722735674676525,7.7865064695009245,5.901109057301294,7.0711645101663585,0.002032062347555542,0.0024349740048782227,0
7,[0.59  1.2   0.672],2904,702,1429,773,2.9195933456561924,0.9824399260628466,0.9648798521256932,0.9722735674676525,7.7865064695009245,6.848428835489834,7.568391866913124,0.0023582743923863067,0.002606195546457687,1
7,[0.59  1.2   0.672],2904,702,1429,773,2.9195933456561924,0.9824399260628466,0.9648798521256932,0.9722735674676525,7.7865064695009245,6.839186691312385,7.804066543438077,0.002355091835851372,0.0026873507380985114,2
7,[0.59  1.2   0.672],2904,702,1429,773,2.9195933456561924,0.9824399260628466,0.9648798521256932,0.9722735674676525,7.7865064695009245,7.7865064695009245,8.751386321626617,0.0026813038806821365,0.0030135627829292757,3
8,[0.59 1.2  1.2 ],3561,706,1467,1388,3.4177449168207024,0.9759704251386322,0.9926062846580407,1.4491682070240295,8.804066543438077,6.794824399260628,9.799445471349353,0.0019081225496379187,0.002751880222226721,0
8,[0.59 1.2  1.2 ],3561,706,1467,1388,3.4195933456561924,0.9759704251386322,0.9907578558225508,1.4528650646950092,8.805914972273568,7.639556377079482,9.633086876155268,0.0021453401789046566,0.002705163402458654,1
8,[0.59 1.2  1.2 ],3561,706,1467,1388,3.310536044362292,0.9759704251386322,0.9602587800369686,1.3743068391866913,8.557301293900185,7.62014787430684,8.580406654343808,0.002139889883265049,0.002409549748481833,2
8,[0.59 1.2  1.2 ],3561,706,1467,1388,3.310536044362292,0.9759704251386322,0.9602587800369686,1.3743068391866913,8.557301293900185,8.557301293900185,9.517560073937153,0.0024030613012918237,0.002672721166508608,3
9,[2.24  0.177 0.177],3072,2637,191,244,4.395198522622345,2.6380424746075715,0.8291782086795937,0.9279778393351801,12.257617728531857,9.024930747922438,10.060018467220683,0.0029378029778393353,0.0032747455947983992,0
9,[2.24  0.177 0.177],3072,2637,191,244,4.395198522622345,2.6380424746075715,0.8291782086795937,0.9279778393351801,12.257617728531857,11.492151431209603,11.520775623268698,0.003740934710680209,0.0037502524815327793,1
9,[2.24  0.177 0.177],3072,2637,191,244,4.395198522622345,2.6380424746075715,0.8291782086795937,0.9279778393351801,12.257617728531857,9.79039704524469,11.626038781163436,0.003186978204832256,0.0037845178324099724,2
9,[2.24  0.177 0.177],3072,2637,191,244,4.395198522622345,2.6380424746075715,0.8291782086795937,0.9279778393351801,12.257617728531857,12.257617728531857,13.08679593721145,0.0039901099376731305,0.004260024719144352,3
10,[2.24  0.177 0.672],3649,2609,232,808,4.466728280961183,2.5914972273567467,0.8752310536044362,1,12.400184842883549,9.053604436229206,10.239371534195934,0.002481119330290273,0.002806076057603709,0
