context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.177 0.177],1133,718,191,224,2.728862973760933,0.9883381924198251,0.8406219630709426,0.8999028182701652,7.2866861030126335,5.704567541302235,5.793002915451895,0.0050349228078572245,0.005112976977450922,0
0,[0.59  0.177 0.177],1133,718,191,224,2.728862973760933,0.9883381924198251,0.8406219630709426,0.8999028182701652,7.2866861030126335,6.537414965986395,6.625850340136054,0.005770004383041831,0.005848058552635529,1
0,[0.59  0.177 0.177],1133,718,191,224,2.728862973760933,0.9883381924198251,0.8406219630709426,0.8999028182701652,7.2866861030126335,6.4538386783284745,7.294460641399417,0.00569623890408515,0.006438182384288982,2
0,[0.59  0.177 0.177],1133,718,191,224,2.728862973760933,0.9883381924198251,0.8406219630709426,0.8999028182701652,7.2866861030126335,7.2866861030126335,8.127308066083577,0.006431320479269756,0.00717326395947359,3
1,[0.59  0.177 0.672],1692,674,241,777,2.821626617375231,0.9861367837338263,0.8632162661737524,0.9722735674676525,7.492606284658041,5.794824399260628,5.973197781885397,0.0034248371154022624,0.003530258736338887,0
1,[0.59  0.177 0.672],1692,674,241,777,2.821626617375231,0.9861367837338263,0.8632162661737524,0.9722735674676525,7.492606284658041,6.647874306839187,6.826247689463956,0.0039290037274463275,0.004034425348382952,1
1,[0.59  0.177 0.672],1692,674,241,777,2.821626617375231,0.9861367837338263,0.8632162661737524,0.9722735674676525,7.492606284658041,6.639556377079482,7.502772643253235,0.003924087693309386,0.004434262791520824,2
1,[0.59  0.177 0.672],1692,674,241,777,2.821626617375231,0.9861367837338263,0.8632162661737524,0.9722735674676525,7.492606284658041,7.492606284658041,8.355822550831792,0.004428254305353452,0.004938429403564889,3
2,[0.59  0.177 1.2  ],2368,701,207,1460,3.3176361957525393,0.989843028624192,0.8568790397045245,1.4709141274238227,8.481994459833794,6.306555863342567,8.077562326869806,0.002663241496343989,0.003411132739387587,0
2,[0.59  0.177 1.2  ],2368,701,207,1460,3.3176361957525393,0.989843028624192,0.8568790397045245,1.4709141274238227,8.481994459833794,7.154201292705448,8.695290858725762,0.0030211998702303414,0.003671997828853785,1
2,[0.59  0.177 1.2  ],2368,701,207,1460,3.3176361957525393,0.989843028624192,0.8568790397045245,1.4709141274238227,8.481994459833794,7.634349030470914,8.491228070175438,0.003223964962192109,0.003585822664770033,2
2,[0.59  0.177 1.2  ],2368,701,207,1460,3.3176361957525393,0.989843028624192,0.8568790397045245,1.4709141274238227,8.481994459833794,8.481994459833794,9.33887349953832,0.0035819233360784605,0.003943781038656385,3
3,[0.59  0.672 0.177],1719,716,789,214,2.8051708217913203,0.9833795013850416,0.938134810710988,0.8836565096952909,7.531855955678671,5.783010156971375,5.843951985226224,0.00336417112098393,0.0033996230280548133,0
3,[0.59  0.672 0.177],1719,716,789,214,2.8051708217913203,0.9833795013850416,0.938134810710988,0.8836565096952909,7.531855955678671,6.7045244690674055,6.765466297322253,0.00390024692790425,0.003935698834975133,1
3,[0.59  0.672 0.177],1719,716,789,214,2.8051708217913203,0.9833795013850416,0.938134810710988,0.8836565096952909,7.531855955678671,6.6103416435826405,7.5484764542936285,0.0038454576169765216,0.004391202125825264,2
3,[0.59  0.672 0.177],1719,716,789,214,2.8051708217913203,0.9833795013850416,0.938134810710988,0.8836565096952909,7.531855955678671,7.531855955678671,8.469990766389659,0.004381533423896841,0.004927277932745584,3
4,[0.59  0.672 0.672],2323,719,808,796,2.901109057301294,0.9824399260628466,0.9426987060998152,0.9759704251386322,7.72735674676525,5.881700554528651,6.3197781885397415,0.0025319416937273575,0.002720524403159596,0
4,[0.59  0.672 0.672],2323,719,808,796,2.901109057301294,0.9824399260628466,0.9426987060998152,0.9759704251386322,7.72735674676525,6.808687615526802,7.178373382624769,0.002930989072547052,0.003090130599494089,1
4,[0.59  0.672 0.672],2323,719,808,796,2.901109057301294,0.9824399260628466,0.9426987060998152,0.9759704251386322,7.72735674676525,6.800369685767098,7.743068391866913,0.0029274083881907437,0.003333219281905688,2
4,[0.59  0.672 0.672],2323,719,808,796,2.901109057301294,0.9824399260628466,0.9426987060998152,0.9759704251386322,7.72735674676525,7.72735674676525,8.670055452865064,0.003326455767010439,0.003732266660725383,3
5,[0.59  0.672 1.2  ],2900,695,782,1423,3.3410351201478745,0.988909426987061,0.9325323475046211,1.4195933456561922,8.60351201478743,6.329944547134935,9.09796672828096,0.0021827394990120465,0.0031372299063037795,0
5,[0.59  0.672 1.2  ],2900,695,782,1423,3.3410351201478745,0.988909426987061,0.9325323475046211,1.4195933456561922,8.60351201478743,7.251386321626617,9.210720887245841,0.0025004780419402126,0.003176110650774428,1
5,[0.59  0.672 1.2  ],2900,695,782,1423,3.3410351201478745,0.988909426987061,0.9325323475046211,1.4195933456561922,8.60351201478743,7.682070240295749,8.61460258780037,0.002648989738033017,0.002970552616482886,2
5,[0.59  0.672 1.2  ],2900,695,782,1423,3.3410351201478745,0.988909426987061,0.9325323475046211,1.4195933456561922,8.60351201478743,8.60351201478743,9.536044362292051,0.0029667282809611828,0.003288291159411052,3
6,[0.59  1.2   0.177],2411,724,1467,220,2.8698060941828256,0.9815327793167128,0.9732225300092336,0.9150507848568791,7.694367497691597,5.847645429362881,6.1551246537396125,0.002425402500772659,0.002552934323409213,0
6,[0.59  1.2   0.177],2411,724,1467,220,2.8698060941828256,0.9815327793167128,0.9732225300092336,0.9150507848568791,7.694367497691597,6.802400738688827,7.090489381348107,0.002821402214304781,0.0029408914895678586,1
