context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.295 0.295],1406,679,377,350,3,1,1,1,8,6,7,0.004267425320056899,0.004978662873399715,0
0,[0.59  0.295 0.295],1406,679,377,350,3,1,1,1,8,7,8,0.004978662873399715,0.005689900426742532,1
0,[0.59  0.295 0.295],1406,679,377,350,3,1,1,1,8,7,8,0.004978662873399715,0.005689900426742532,2
0,[0.59  0.295 0.295],1406,679,377,350,3,1,1,1,8,8,9,0.005689900426742532,0.006401137980085348,3
1,[2.24 1.12 1.12],5403,2696,1367,1340,5,2,2,1,14,10,14,0.0018508236165093468,0.002591153063113085,0
1,[2.24 1.12 1.12],5403,2696,1367,1340,5,2,2,1,14,13,16,0.0024060707014621507,0.0029613177864149546,1
1,[2.24 1.12 1.12],5403,2696,1367,1340,5,3,1,1,14,12,14,0.002220988339811216,0.002591153063113085,2
1,[2.24 1.12 1.12],5403,2696,1367,1340,4,2,1,1,11,11,12,0.0020359059781602813,0.002220988339811216,3
2,[4 2 2],9725,4837,2408,2480,10,5,2,3,27,22,29,0.0022622107969151673,0.002982005141388175,0
2,[4 2 2],9725,4837,2408,2480,10,5,2,3,27,26,31,0.002673521850899743,0.0031876606683804627,1
2,[4 2 2],9725,4837,2408,2480,9,5,1,3,24,21,24,0.002159383033419023,0.002467866323907455,2
2,[4 2 2],9725,4837,2408,2480,9,5,1,3,24,24,25,0.002467866323907455,0.002570694087403599,3
3,[6.79 3.4  3.4 ],16327,8093,4079,4155,16,9,3,4,44,34,48,0.002082440129846267,0.002939915477430024,0
3,[6.79 3.4  3.4 ],16327,8093,4079,4155,15,8,3,4,41,38,48,0.0023274330862987688,0.002939915477430024,1
3,[6.79 3.4  3.4 ],16327,8093,4079,4155,14,8,2,4,38,33,38,0.0020211918907331416,0.0023274330862987688,2
3,[6.79 3.4  3.4 ],16327,8093,4079,4155,14,8,2,4,38,38,40,0.0023274330862987688,0.00244992956452502,3
