context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2127,750,693,684,3,1,1,1,8,6,7,0.0028208744710860366,0.003291020216267043,0
0,[0.59 0.59 0.59],2127,750,693,684,3,1,1,1,8,7,8,0.003291020216267043,0.0037611659614480487,1
0,[0.59 0.59 0.59],2127,750,693,684,3,1,1,1,8,7,8,0.003291020216267043,0.0037611659614480487,2
0,[0.59 0.59 0.59],2127,750,693,684,3,1,1,1,8,8,9,0.0037611659614480487,0.004231311706629055,3
1,[0.59 0.59 2.24],4046,707,709,2630,5,1,1,3,12,10,13,0.002471576866040534,0.003213049925852694,0
1,[0.59 0.59 2.24],4046,707,709,2630,5,1,1,3,12,11,14,0.002718734552644587,0.0034602076124567475,1
1,[0.59 0.59 2.24],4046,707,709,2630,5,1,1,3,12,11,12,0.002718734552644587,0.002965892239248641,2
1,[0.59 0.59 2.24],4046,707,709,2630,5,1,1,3,12,12,13,0.002965892239248641,0.003213049925852694,3
2,[0.59 0.59 4.  ],6216,689,701,4826,7,1,1,5,16,13,22,0.0020913770913770914,0.0035392535392535394,0
2,[0.59 0.59 4.  ],6216,689,701,4826,7,1,1,5,16,14,23,0.0022522522522522522,0.0037001287001287003,1
2,[0.59 0.59 4.  ],6216,689,701,4826,7,1,1,5,16,15,16,0.002413127413127413,0.002574002574002574,2
2,[0.59 0.59 4.  ],6216,689,701,4826,7,1,1,5,16,16,17,0.002574002574002574,0.0027348777348777348,3
3,[0.59 0.59 6.79],9672,692,727,8253,14,1,4,9,33,24,39,0.0024813895781637717,0.004032258064516129,0
3,[0.59 0.59 6.79],9672,692,727,8253,14,1,4,9,33,28,43,0.0028949545078577337,0.004445822994210091,1
3,[0.59 0.59 6.79],9672,692,727,8253,11,1,1,9,24,23,24,0.002377998345740281,0.0024813895781637717,2
3,[0.59 0.59 6.79],9672,692,727,8253,11,1,1,9,24,24,25,0.0024813895781637717,0.0025847808105872623,3
4,[0.59 0.59 7.11],9801,677,723,8401,14,1,4,9,33,24,37,0.002448729721456994,0.003775124987246199,0
4,[0.59 0.59 7.11],9801,677,723,8401,14,1,4,9,33,28,41,0.0028568513416998265,0.004183246607489032,1
