context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.295 0.295],1349,668,345,336,3,1,1,1,8,6,6,0.004447739065974796,0.004447739065974796,0
0,[0.59  0.295 0.295],1349,668,345,336,3,1,1,1,8,7,7,0.005189028910303929,0.005189028910303929,1
0,[0.59  0.295 0.295],1349,668,345,336,3,1,1,1,8,7,8,0.005189028910303929,0.005930318754633061,2
0,[0.59  0.295 0.295],1349,668,345,336,3,1,1,1,8,8,9,0.005930318754633061,0.006671608598962194,3
1,[0.59  0.295 1.12 ],2370,668,365,1337,4,1,2,1,11,8,10,0.0033755274261603376,0.004219409282700422,0
1,[0.59  0.295 1.12 ],2370,668,365,1337,4,1,2,1,11,10,12,0.004219409282700422,0.005063291139240506,1
1,[0.59  0.295 1.12 ],2370,668,365,1337,3,1,1,1,8,7,8,0.002953586497890295,0.0033755274261603376,2
1,[0.59  0.295 1.12 ],2370,668,365,1337,3,1,1,1,8,8,9,0.0033755274261603376,0.0037974683544303796,3
2,[0.59  0.295 2.   ],3414,686,335,2393,5,1,2,2,13,10,13,0.0029291154071470417,0.003807850029291154,0
2,[0.59  0.295 2.   ],3414,686,335,2393,5,1,2,2,13,12,15,0.0035149384885764497,0.004393673110720563,1
2,[0.59  0.295 2.   ],3414,686,335,2393,4,1,1,2,10,9,10,0.0026362038664323375,0.0029291154071470417,2
2,[0.59  0.295 2.   ],3414,686,335,2393,4,1,1,2,10,10,11,0.0029291154071470417,0.003222026947861746,3
3,[0.59  0.295 3.395],5050,700,349,4001,8,1,2,5,19,15,19,0.0029702970297029703,0.0037623762376237622,0
3,[0.59  0.295 3.395],5050,700,349,4001,8,1,2,5,19,17,21,0.0033663366336633663,0.004158415841584159,1
3,[0.59  0.295 3.395],5050,700,349,4001,7,1,1,5,16,15,16,0.0029702970297029703,0.0031683168316831685,2
3,[0.59  0.295 3.395],5050,700,349,4001,7,1,1,5,16,16,17,0.0031683168316831685,0.0033663366336633663,3
4,[0.59  0.295 3.555],5347,701,354,4292,7,1,2,4,17,14,19,0.002618290630259959,0.003553394426781373,0
4,[0.59  0.295 3.555],5347,701,354,4292,7,1,2,4,17,16,21,0.0029923321488685246,0.003927435945389938,1
4,[0.59  0.295 3.555],5347,701,354,4292,6,1,1,4,14,13,14,0.0024312698709556763,0.002618290630259959,2
4,[0.59  0.295 3.555],5347,701,354,4292,6,1,1,4,14,14,15,0.002618290630259959,0.0028053113895642415,3
5,[0.59  0.295 4.045],5960,751,355,4854,8,1,2,5,19,15,25,0.0025167785234899327,0.0041946308724832215,0
5,[0.59  0.295 4.045],5960,751,355,4854,8,1,2,5,19,16,26,0.0026845637583892616,0.00436241610738255,1
5,[0.59  0.295 4.045],5960,751,355,4854,6,1,0,5,13,13,13,0.002181208053691275,0.002181208053691275,2
5,[0.59  0.295 4.045],5960,751,355,4854,6,1,0,5,13,13,13,0.002181208053691275,0.002181208053691275,3
6,[0.59  0.295 4.46 ],6389,699,359,5331,7,1,1,5,16,13,22,0.0020347472217874473,0.003443418375332603,0
6,[0.59  0.295 4.46 ],6389,699,359,5331,7,1,1,5,16,14,23,0.0021912662388480202,0.0035999373923931758,1
6,[0.59  0.295 4.46 ],6389,699,359,5331,7,1,1,5,16,15,16,0.0023477852559085927,0.0025043042729691657,2
6,[0.59  0.295 4.46 ],6389,699,359,5331,7,1,1,5,16,16,17,0.0025043042729691657,0.0026608232900297386,3
7,[0.59  1.12  0.295],2361,708,1325,328,3,1,1,1,8,6,6,0.0025412960609911056,0.0025412960609911056,0
7,[0.59  1.12  0.295],2361,708,1325,328,3,1,1,1,8,7,7,0.002964845404489623,0.002964845404489623,1
7,[0.59  1.12  0.295],2361,708,1325,328,3,1,1,1,8,7,8,0.002964845404489623,0.0033883947479881405,2
7,[0.59  1.12  0.295],2361,708,1325,328,3,1,1,1,8,8,9,0.0033883947479881405,0.0038119440914866584,3
8,[0.59 1.12 1.12],3393,705,1352,1336,3,1,1,1,8,7,8,0.00206307102858827,0.002357795461243737,0
8,[0.59 1.12 1.12],3393,705,1352,1336,3,1,1,1,8,8,9,0.002357795461243737,0.002652519893899204,1
8,[0.59 1.12 1.12],3393,705,1352,1336,3,1,1,1,8,7,8,0.00206307102858827,0.002357795461243737,2
8,[0.59 1.12 1.12],3393,705,1352,1336,3,1,1,1,8,8,9,0.002357795461243737,0.002652519893899204,3
9,[0.59 1.12 2.  ],4466,702,1314,2450,4,1,1,2,10,9,10,0.0020152261531571876,0.0022391401701746527,0
9,[0.59 1.12 2.  ],4466,702,1314,2450,4,1,1,2,10,10,11,0.0022391401701746527,0.0024630541871921183,1
9,[0.59 1.12 2.  ],4466,702,1314,2450,4,1,1,2,10,9,10,0.0020152261531571876,0.0022391401701746527,2
9,[0.59 1.12 2.  ],4466,702,1314,2450,4,1,1,2,10,10,11,0.0022391401701746527,0.0024630541871921183,3
10,[0.59  1.12  3.395],6235,728,1352,4155,8,1,2,5,19,14,24,0.0022453889334402566,0.0038492381716118684,0
