context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2188,743,748,697,3,1,1,1,8,6,6,0.002742230347349177,0.002742230347349177,0
0,[0.59 0.59 0.59],2188,743,748,697,3,1,1,1,8,7,7,0.0031992687385740404,0.0031992687385740404,1
0,[0.59 0.59 0.59],2188,743,748,697,3,1,1,1,8,7,8,0.0031992687385740404,0.003656307129798903,2
0,[0.59 0.59 0.59],2188,743,748,697,3,1,1,1,8,8,9,0.003656307129798903,0.004113345521023766,3
1,[0.59 0.59 2.24],4062,744,709,2609,5,1,1,3,12,10,13,0.002461841457410143,0.003200393894633186,0
1,[0.59 0.59 2.24],4062,744,709,2609,5,1,1,3,12,11,14,0.0027080256031511572,0.0034465780403741997,1
1,[0.59 0.59 2.24],4062,744,709,2609,5,1,1,3,12,11,12,0.0027080256031511572,0.0029542097488921715,2
1,[0.59 0.59 2.24],4062,744,709,2609,5,1,1,3,12,12,13,0.0029542097488921715,0.003200393894633186,3
2,[0.59 0.59 4.  ],6054,683,686,4685,6,1,1,4,14,11,22,0.0018169805087545426,0.003633961017509085,0
2,[0.59 0.59 4.  ],6054,683,686,4685,6,1,1,4,14,12,23,0.0019821605550049554,0.003799141063759498,1
2,[0.59 0.59 4.  ],6054,683,686,4685,6,1,1,4,14,13,14,0.002147340601255368,0.0023125206475057814,2
2,[0.59 0.59 4.  ],6054,683,686,4685,6,1,1,4,14,14,15,0.0023125206475057814,0.002477700693756194,3
3,[0.59 2.24 0.59],4137,744,2654,739,3,1,1,1,8,6,8,0.0014503263234227702,0.0019337684312303602,0
3,[0.59 2.24 0.59],4137,744,2654,739,3,1,1,1,8,7,9,0.001692047377326565,0.002175489485134155,1
3,[0.59 2.24 0.59],4137,744,2654,739,4,1,2,1,11,9,11,0.002175489485134155,0.0026589315929417454,2
3,[0.59 2.24 0.59],4137,744,2654,739,4,1,2,1,11,11,13,0.0026589315929417454,0.0031423737007493352,3
4,[0.59 2.24 2.24],6173,733,2739,2701,5,1,1,3,12,10,13,0.0016199578810950916,0.002105945245423619,0
4,[0.59 2.24 2.24],6173,733,2739,2701,5,1,1,3,12,11,14,0.0017819536692046008,0.002267941033533128,1
4,[0.59 2.24 2.24],6173,733,2739,2701,5,1,1,3,12,11,12,0.0017819536692046008,0.00194394945731411,2
4,[0.59 2.24 2.24],6173,733,2739,2701,5,1,1,3,12,12,13,0.00194394945731411,0.002105945245423619,3
5,[0.59 2.24 4.  ],8298,727,2736,4835,7,1,2,4,17,14,20,0.0016871535309713184,0.002410219329959026,0
5,[0.59 2.24 4.  ],8298,727,2736,4835,7,1,2,4,17,16,22,0.001928175463967221,0.002651241262954929,1
5,[0.59 2.24 4.  ],8298,727,2736,4835,6,1,1,4,14,13,14,0.0015666425644733672,0.0016871535309713184,2
5,[0.59 2.24 4.  ],8298,727,2736,4835,6,1,1,4,14,14,15,0.0016871535309713184,0.0018076644974692696,3
6,[0.59 4.   0.59],6207,714,4785,708,4,1,2,1,11,9,11,0.0014499758337361043,0.001772192685677461,0
6,[0.59 4.   0.59],6207,714,4785,708,4,1,2,1,11,10,12,0.0016110842597067826,0.0019333011116481392,1
6,[0.59 4.   0.59],6207,714,4785,708,4,1,2,1,11,9,11,0.0014499758337361043,0.001772192685677461,2
6,[0.59 4.   0.59],6207,714,4785,708,4,1,2,1,11,11,13,0.001772192685677461,0.0020944095376188173,3
7,[0.59 4.   2.24],8355,711,4916,2728,5,1,2,2,13,10,14,0.0011968880909634949,0.0016756433273488929,0
7,[0.59 4.   2.24],8355,711,4916,2728,5,1,2,2,13,12,16,0.001436265709156194,0.0019150209455415918,1
7,[0.59 4.   2.24],8355,711,4916,2728,5,1,2,2,13,11,13,0.0013165769000598444,0.0015559545182525433,2
7,[0.59 4.   2.24],8355,711,4916,2728,5,1,2,2,13,13,15,0.0015559545182525433,0.0017953321364452424,3
8,[0.59 4.   4.  ],10191,699,4759,4733,8,1,3,4,20,15,24,0.0014718869590815426,0.0023550191345304682,0
8,[0.59 4.   4.  ],10191,699,4759,4733,8,1,3,4,20,18,27,0.001766264350897851,0.0026493965263467765,1
8,[0.59 4.   4.  ],10191,699,4759,4733,8,1,3,4,20,17,20,0.0016681385536257481,0.001962515945442057,2
8,[0.59 4.   4.  ],10191,699,4759,4733,8,1,3,4,20,20,23,0.001962515945442057,0.002256893337258365,3
9,[2.24 0.59 0.59],4100,2736,691,673,4,2,1,1,11,9,10,0.0021951219512195124,0.0024390243902439024,0
9,[2.24 0.59 0.59],4100,2736,691,673,5,3,1,1,14,13,13,0.0031707317073170734,0.0031707317073170734,1
9,[2.24 0.59 0.59],4100,2736,691,673,5,3,1,1,14,12,13,0.002926829268292683,0.0031707317073170734,2
9,[2.24 0.59 0.59],4100,2736,691,673,5,3,1,1,14,14,15,0.0034146341463414634,0.003658536585365854,3
10,[2.24 0.59 2.24],6051,2619,686,2746,6,3,1,2,16,13,16,0.0021484052222773093,0.0026441910428028426,0
10,[2.24 0.59 2.24],6051,2619,686,2746,6,3,1,2,16,15,18,0.002478929102627665,0.002974714923153198,1
10,[2.24 0.59 2.24],6051,2619,686,2746,5,2,1,2,13,12,13,0.0019831432821021317,0.0021484052222773093,2
10,[2.24 0.59 2.24],6051,2619,686,2746,6,3,1,2,16,16,17,0.0026441910428028426,0.00280945298297802,3
11,[2.24 0.59 4.  ],8181,2648,717,4816,12,3,3,6,30,22,33,0.0026891578046693556,0.004033736707004034,0
11,[2.24 0.59 4.  ],8181,2648,717,4816,12,3,3,6,30,26,37,0.0031780955873365116,0.004522674489671189,1
11,[2.24 0.59 4.  ],8181,2648,717,4816,9,2,1,6,21,20,22,0.002444688913335778,0.0026891578046693556,2
11,[2.24 0.59 4.  ],8181,2648,717,4816,10,3,1,6,24,24,25,0.0029336266960029336,0.0030558611416697224,3
12,[2.24 2.24 0.59],5976,2591,2666,719,6,3,2,1,17,14,16,0.0023427041499330657,0.002677376171352075,0
12,[2.24 2.24 0.59],5976,2591,2666,719,5,2,2,1,14,13,14,0.002175368139223561,0.0023427041499330657,1
12,[2.24 2.24 0.59],5976,2591,2666,719,4,2,1,1,11,10,11,0.0016733601070950468,0.0018406961178045514,2
12,[2.24 2.24 0.59],5976,2591,2666,719,4,2,1,1,11,11,12,0.0018406961178045514,0.002008032128514056,3
13,[2.24 2.24 2.24],8126,2702,2754,2670,9,3,3,3,24,20,26,0.002461235540241201,0.0031996062023135615,0
13,[2.24 2.24 2.24],8126,2702,2754,2670,9,3,3,3,24,22,27,0.002707359094265321,0.0033226679793256215,1
13,[2.24 2.24 2.24],8126,2702,2754,2670,8,3,2,3,21,19,22,0.002338173763229141,0.002707359094265321,2
13,[2.24 2.24 2.24],8126,2702,2754,2670,8,3,2,3,21,21,23,0.002584297317253261,0.002830420871277381,3
14,[2.24 2.24 4.  ],10280,2766,2715,4799,10,3,3,4,26,22,34,0.0021400778210116734,0.0033073929961089494,0
14,[2.24 2.24 4.  ],10280,2766,2715,4799,10,3,3,4,26,24,35,0.0023346303501945525,0.003404669260700389,1
14,[2.24 2.24 4.  ],10280,2766,2715,4799,9,3,2,4,23,20,23,0.0019455252918287938,0.0022373540856031127,2
14,[2.24 2.24 4.  ],10280,2766,2715,4799,9,3,2,4,23,23,25,0.0022373540856031127,0.0024319066147859923,3
15,[2.24 4.   0.59],8167,2656,4781,730,7,3,3,1,20,14,19,0.0017142157462960695,0.002326435655687523,0
