context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.413 0.413],1730,718,514,498,2,1,1,0,6,5,5,0.002890173410404624,0.002890173410404624,0
0,[0.59  0.413 0.413],1730,718,514,498,2,1,1,0,6,6,6,0.003468208092485549,0.003468208092485549,1
0,[0.59  0.413 0.413],1730,718,514,498,2,1,1,0,6,5,6,0.002890173410404624,0.003468208092485549,2
0,[0.59  0.413 0.413],1730,718,514,498,2,1,1,0,6,6,7,0.003468208092485549,0.004046242774566474,3
1,[0.59  0.413 1.568],3048,702,495,1851,4,1,1,2,10,8,10,0.0026246719160104987,0.0032808398950131233,0
1,[0.59  0.413 1.568],3048,702,495,1851,4,1,1,2,10,9,11,0.002952755905511811,0.0036089238845144356,1
1,[0.59  0.413 1.568],3048,702,495,1851,4,1,1,2,10,9,10,0.002952755905511811,0.0032808398950131233,2
1,[0.59  0.413 1.568],3048,702,495,1851,4,1,1,2,10,10,11,0.0032808398950131233,0.0036089238845144356,3
2,[0.59  0.413 3.2  ],5005,685,507,3813,7,1,2,4,17,13,17,0.0025974025974025974,0.0033966033966033966,0
2,[0.59  0.413 3.2  ],5005,685,507,3813,7,1,2,4,17,15,19,0.002997002997002997,0.003796203796203796,1
2,[0.59  0.413 3.2  ],5005,685,507,3813,6,1,1,4,14,13,14,0.0025974025974025974,0.002797202797202797,2
2,[0.59  0.413 3.2  ],5005,685,507,3813,6,1,1,4,14,14,15,0.002797202797202797,0.002997002997002997,3
3,[0.59  1.568 0.413],3004,655,1847,502,4,1,2,1,11,7,10,0.002330226364846871,0.003328894806924101,0
3,[0.59  1.568 0.413],3004,655,1847,502,4,1,2,1,11,9,12,0.002996005326231691,0.0039946737683089215,1
3,[0.59  1.568 0.413],3004,655,1847,502,3,1,1,1,8,7,8,0.002330226364846871,0.002663115845539281,2
3,[0.59  1.568 0.413],3004,655,1847,502,3,1,1,1,8,8,9,0.002663115845539281,0.002996005326231691,3
4,[0.59  1.568 1.568],4564,702,1918,1944,4,1,2,1,11,8,10,0.0017528483786152498,0.0021910604732690623,0
4,[0.59  1.568 1.568],4564,702,1918,1944,4,1,2,1,11,10,12,0.0021910604732690623,0.0026292725679228747,1
4,[0.59  1.568 1.568],4564,702,1918,1944,3,1,1,1,8,7,8,0.0015337423312883436,0.0017528483786152498,2
4,[0.59  1.568 1.568],4564,702,1918,1944,3,1,1,1,8,8,9,0.0017528483786152498,0.001971954425942156,3
5,[0.59  1.568 3.2  ],6499,732,1951,3816,7,1,2,4,17,13,23,0.002000307739652254,0.003539006000923219,0
5,[0.59  1.568 3.2  ],6499,732,1951,3816,7,1,2,4,17,15,25,0.002308047391906447,0.003846745653177412,1
5,[0.59  1.568 3.2  ],6499,732,1951,3816,6,1,1,4,14,13,14,0.002000307739652254,0.0021541775657793506,2
5,[0.59  1.568 3.2  ],6499,732,1951,3816,6,1,1,4,14,14,15,0.0021541775657793506,0.002308047391906447,3
6,[0.59  3.2   0.413],5036,729,3818,489,4,1,2,1,11,9,12,0.0017871326449563146,0.0023828435266084196,0
6,[0.59  3.2   0.413],5036,729,3818,489,4,1,2,1,11,10,13,0.0019857029388403494,0.002581413820492454,1
6,[0.59  3.2   0.413],5036,729,3818,489,4,1,2,1,11,10,12,0.0019857029388403494,0.0023828435266084196,2
6,[0.59  3.2   0.413],5036,729,3818,489,4,1,2,1,11,11,13,0.0021842732327243845,0.002581413820492454,3
7,[0.59  3.2   1.568],6351,674,3823,1854,4,1,1,2,10,8,10,0.001259644150527476,0.001574555188159345,0
7,[0.59  3.2   1.568],6351,674,3823,1854,4,1,1,2,10,9,11,0.0014170996693434106,0.0017320107069752795,1
7,[0.59  3.2   1.568],6351,674,3823,1854,5,1,2,2,13,11,13,0.0017320107069752795,0.0020469217446071487,2
7,[0.59  3.2   1.568],6351,674,3823,1854,5,1,2,2,13,13,15,0.0020469217446071487,0.0023618327822390174,3
8,[0.59 3.2  3.2 ],8490,668,3860,3962,7,1,2,4,17,14,20,0.0016489988221436984,0.002355712603062426,0
8,[0.59 3.2  3.2 ],8490,668,3860,3962,7,1,2,4,17,16,22,0.001884570082449941,0.002591283863368669,1
8,[0.59 3.2  3.2 ],8490,668,3860,3962,7,1,2,4,17,15,17,0.0017667844522968198,0.0020023557126030624,2
8,[0.59 3.2  3.2 ],8490,668,3860,3962,7,1,2,4,17,17,19,0.0020023557126030624,0.002237926972909305,3
9,[2.24  0.413 0.413],3617,2637,448,532,4,2,1,1,11,8,9,0.002211777716339508,0.0024882499308819463,0
9,[2.24  0.413 0.413],3617,2637,448,532,4,2,1,1,11,10,11,0.002764722145424385,0.0030411943599668234,1
9,[2.24  0.413 0.413],3617,2637,448,532,4,2,1,1,11,10,11,0.002764722145424385,0.0030411943599668234,2
9,[2.24  0.413 0.413],3617,2637,448,532,4,2,1,1,11,11,12,0.0030411943599668234,0.0033176665745092617,3
10,[2.24  0.413 1.568],5114,2721,503,1890,5,3,0,2,13,12,15,0.0023464998044583495,0.002933124755572937,0
10,[2.24  0.413 1.568],5114,2721,503,1890,5,3,0,2,13,13,15,0.0025420414548298787,0.002933124755572937,1
10,[2.24  0.413 1.568],5114,2721,503,1890,6,3,1,2,16,15,17,0.002933124755572937,0.003324208056315995,2
10,[2.24  0.413 1.568],5114,2721,503,1890,6,3,1,2,16,16,17,0.003128666405944466,0.003324208056315995,3
11,[2.24  0.413 3.2  ],6982,2734,489,3759,9,3,2,4,23,18,23,0.0025780578630764826,0.003294185047264394,0
11,[2.24  0.413 3.2  ],6982,2734,489,3759,9,3,2,4,23,21,25,0.0030077341735892296,0.003580635920939559,1
11,[2.24  0.413 3.2  ],6982,2734,489,3759,8,3,1,4,20,18,20,0.0025780578630764826,0.002864508736751647,2
11,[2.24  0.413 3.2  ],6982,2734,489,3759,8,3,1,4,20,20,21,0.002864508736751647,0.0030077341735892296,3
12,[2.24  1.568 0.413],4985,2680,1799,506,5,3,1,1,14,12,13,0.002407221664994985,0.002607823470411234,0
12,[2.24  1.568 0.413],4985,2680,1799,506,4,2,1,1,11,11,12,0.0022066198595787363,0.002407221664994985,1
12,[2.24  1.568 0.413],4985,2680,1799,506,4,2,1,1,11,10,11,0.0020060180541624875,0.0022066198595787363,2
12,[2.24  1.568 0.413],4985,2680,1799,506,4,2,1,1,11,11,12,0.0022066198595787363,0.002407221664994985,3
13,[2.24  1.568 1.568],6465,2643,1879,1943,6,3,2,1,17,13,17,0.002010827532869296,0.0026295436968290795,0
13,[2.24  1.568 1.568],6465,2643,1879,1943,6,3,2,1,17,16,20,0.0024748646558391337,0.0030935808197989174,1
13,[2.24  1.568 1.568],6465,2643,1879,1943,5,3,1,1,14,12,13,0.0018561484918793504,0.002010827532869296,2
13,[2.24  1.568 1.568],6465,2643,1879,1943,5,3,1,1,14,14,15,0.002165506573859242,0.002320185614849188,3
14,[2.24  1.568 3.2  ],8334,2717,1895,3722,9,3,2,4,23,18,25,0.0021598272138228943,0.002999760019198464,0
14,[2.24  1.568 3.2  ],8334,2717,1895,3722,9,3,2,4,23,21,27,0.0025197984161267097,0.0032397408207343412,1
14,[2.24  1.568 3.2  ],8334,2717,1895,3722,8,3,1,4,20,18,20,0.0021598272138228943,0.0023998080153587713,2
14,[2.24  1.568 3.2  ],8334,2717,1895,3722,8,3,1,4,20,20,21,0.0023998080153587713,0.0025197984161267097,3
15,[2.24  3.2   0.413],6960,2701,3756,503,6,3,2,1,17,13,17,0.001867816091954023,0.002442528735632184,0
15,[2.24  3.2   0.413],6960,2701,3756,503,7,3,3,1,20,18,24,0.002586206896551724,0.0034482758620689655,1
15,[2.24  3.2   0.413],6960,2701,3756,503,6,3,2,1,17,15,17,0.0021551724137931034,0.002442528735632184,2
15,[2.24  3.2   0.413],6960,2701,3756,503,6,3,2,1,17,17,19,0.002442528735632184,0.0027298850574712643,3
16,[2.24  3.2   1.568],8464,2708,3897,1859,8,3,3,2,22,17,21,0.002008506616257089,0.00248109640831758,0
16,[2.24  3.2   1.568],8464,2708,3897,1859,8,3,3,2,22,20,24,0.0023629489603024575,0.002835538752362949,1
16,[2.24  3.2   1.568],8464,2708,3897,1859,8,4,2,2,22,18,22,0.0021266540642722116,0.0025992438563327033,2
16,[2.24  3.2   1.568],8464,2708,3897,1859,7,3,2,2,19,19,21,0.0022448015122873348,0.00248109640831758,3
17,[2.24 3.2  3.2 ],10543,2671,3980,3892,9,3,2,4,23,20,28,0.001896993265673907,0.0026557905719434695,0
17,[2.24 3.2  3.2 ],10543,2671,3980,3892,8,2,2,4,20,19,27,0.0018021436023902115,0.0025609409086597744,1
17,[2.24 3.2  3.2 ],10543,2671,3980,3892,8,2,2,4,20,18,21,0.0017072939391065162,0.001991842928957602,2
17,[2.24 3.2  3.2 ],10543,2671,3980,3892,8,2,2,4,20,20,22,0.001896993265673907,0.0020866925922412975,3
18,[4.    0.413 0.413],5834,4797,538,499,7,5,1,1,20,16,18,0.002742543709290367,0.0030853616729516627,0
18,[4.    0.413 0.413],5834,4797,538,499,6,4,1,1,17,16,16,0.002742543709290367,0.002742543709290367,1
18,[4.    0.413 0.413],5834,4797,538,499,7,5,1,1,20,17,19,0.0029139526911210146,0.0032567706547823104,2
18,[4.    0.413 0.413],5834,4797,538,499,6,4,1,1,17,17,18,0.0029139526911210146,0.0030853616729516627,3
19,[4.    0.413 1.568],7146,4795,470,1881,8,5,1,2,22,18,25,0.0025188916876574307,0.003498460677301987,0
19,[4.    0.413 1.568],7146,4795,470,1881,7,4,1,2,19,18,23,0.0025188916876574307,0.0032185838231178284,1
19,[4.    0.413 1.568],7146,4795,470,1881,8,5,1,2,22,19,21,0.0026588301147495103,0.002938706968933669,2
19,[4.    0.413 1.568],7146,4795,470,1881,7,4,1,2,19,19,20,0.0026588301147495103,0.00279876854184159,3
20,[4.    0.413 3.2  ],9311,4907,533,3871,11,5,2,4,29,23,30,0.0024701965417248417,0.0032219954892063153,0
20,[4.    0.413 3.2  ],9311,4907,533,3871,11,5,2,4,29,27,32,0.0028997959402856837,0.003436795188486736,1
20,[4.    0.413 3.2  ],9311,4907,533,3871,10,5,1,4,26,23,26,0.0024701965417248417,0.0027923960906454733,2
20,[4.    0.413 3.2  ],9311,4907,533,3871,10,5,1,4,26,26,27,0.0027923960906454733,0.0028997959402856837,3
21,[4.    1.568 0.413],7214,4807,1902,505,7,5,1,1,20,16,19,0.0022179096201829776,0.002633767673967286,0
21,[4.    1.568 0.413],7214,4807,1902,505,7,5,1,1,20,19,20,0.002633767673967286,0.0027723870252287217,1
21,[4.    1.568 0.413],7214,4807,1902,505,5,4,0,1,14,13,14,0.0018020515663986693,0.0019406709176601053,2
21,[4.    1.568 0.413],7214,4807,1902,505,6,5,0,1,17,17,17,0.0023565289714444137,0.0023565289714444137,3
22,[4.    1.568 1.568],8563,4810,1893,1860,8,5,1,2,22,19,23,0.0022188485343921523,0.0026859745416326053,0
22,[4.    1.568 1.568],8563,4810,1893,1860,8,5,1,2,22,22,24,0.002569193039822492,0.0028027560434427186,1
22,[4.    1.568 1.568],8563,4810,1893,1860,8,5,1,2,22,19,21,0.0022188485343921523,0.002452411538012379,2
22,[4.    1.568 1.568],8563,4810,1893,1860,8,5,1,2,22,22,23,0.002569193039822492,0.0026859745416326053,3
23,[4.    1.568 3.2  ],10545,4725,1898,3922,12,6,2,4,32,25,31,0.002370791844476055,0.0029397818871503083,0
23,[4.    1.568 3.2  ],10545,4725,1898,3922,11,5,2,4,29,27,33,0.0025604551920341396,0.0031294452347083927,1
23,[4.    1.568 3.2  ],10545,4725,1898,3922,9,4,1,4,23,20,23,0.001896633475580844,0.002181128496917971,2
23,[4.    1.568 3.2  ],10545,4725,1898,3922,10,5,1,4,26,26,27,0.0024656235182550974,0.0025604551920341396,3
24,[4.    3.2   0.413],9238,4876,3889,473,9,6,2,1,26,20,26,0.002164970772894566,0.0028144620047629355,0
24,[4.    3.2   0.413],9238,4876,3889,473,7,4,2,1,20,18,22,0.0019484736956051094,0.0023814678501840225,1
24,[4.    3.2   0.413],9238,4876,3889,473,9,6,2,1,26,22,25,0.0023814678501840225,0.0027062134661182072,2
24,[4.    3.2   0.413],9238,4876,3889,473,7,4,2,1,20,20,22,0.002164970772894566,0.0023814678501840225,3
25,[4.    3.2   1.568],10453,4776,3758,1919,10,5,3,2,28,22,28,0.0021046589495838514,0.002678656844924902,0
25,[4.    3.2   1.568],10453,4776,3758,1919,10,5,3,2,28,26,31,0.002487324213144552,0.002965655792595427,1
25,[4.    3.2   1.568],10453,4776,3758,1919,9,5,2,2,25,22,25,0.0021046589495838514,0.002391657897254377,2
25,[4.    3.2   1.568],10453,4776,3758,1919,9,5,2,2,25,25,27,0.002391657897254377,0.002582990529034727,3
26,[4.  3.2 3.2],12572,4801,3911,3860,13,6,3,4,35,27,37,0.002147629653197582,0.0029430480432707604,0
26,[4.  3.2 3.2],12572,4801,3911,3860,12,5,3,4,32,29,39,0.0023067133312122175,0.003102131721285396,1
26,[4.  3.2 3.2],12572,4801,3911,3860,11,5,2,4,29,25,29,0.001988545975182946,0.0023067133312122175,2
